id,conversation_id,parent_claim,child_claim,dependency_type
71,563,Claim_3798,Claim_5506,requires
72,449,Claim_3124,Claim_7380,contradicts
73,168,Claim_4148,Claim_8389,extends
74,38,Claim_3824,Claim_5246,requires
75,537,Claim_650,Claim_5326,supports
76,751,Claim_301,Claim_5895,extends
77,302,Claim_2376,Claim_9291,supports
78,381,Claim_3210,Claim_9965,contradicts
79,966,Claim_1056,Claim_5859,supports
80,757,Claim_4172,Claim_8952,contradicts
81,734,Claim_4804,Claim_5162,supports
82,287,Claim_2099,Claim_9786,supports
83,847,Claim_448,Claim_5506,requires
84,174,Claim_1576,Claim_5585,contradicts
85,940,Claim_4670,Claim_6418,supports
86,291,Claim_4657,Claim_9923,extends
87,17,Claim_3394,Claim_7369,supports
88,910,Claim_2171,Claim_5702,extends
89,76,Claim_484,Claim_8756,supports
90,688,Claim_2249,Claim_6696,supports
91,30,Claim_2851,Claim_8035,supports
92,223,Claim_723,Claim_7986,requires
93,563,Claim_2593,Claim_5319,requires
94,426,Claim_127,Claim_8528,requires
95,990,Claim_2931,Claim_5949,contradicts
96,119,Claim_2170,Claim_9280,extends
97,354,Claim_590,Claim_7721,requires
98,22,Claim_4644,Claim_7877,supports
99,273,Claim_1078,Claim_8751,requires
100,53,Claim_1279,Claim_5533,contradicts
101,798,Claim_1887,Claim_9423,requires
102,118,Claim_858,Claim_7744,supports
103,121,Claim_650,Claim_8559,extends
104,886,Claim_3858,Claim_5789,contradicts
105,213,Claim_3030,Claim_6580,contradicts
106,115,Claim_293,Claim_8219,supports
107,663,Claim_3456,Claim_7668,supports
108,647,Claim_2087,Claim_9088,extends
109,970,Claim_2602,Claim_7849,extends
110,125,Claim_296,Claim_9070,extends
111,512,Claim_610,Claim_6532,extends
112,8,Claim_3594,Claim_6189,contradicts
113,752,Claim_261,Claim_9471,contradicts
114,329,Claim_1449,Claim_7463,supports
115,562,Claim_4240,Claim_8580,supports
116,758,Claim_4995,Claim_8511,extends
117,326,Claim_1887,Claim_6924,requires
118,40,Claim_813,Claim_5123,extends
119,801,Claim_610,Claim_9840,supports
120,967,Claim_2203,Claim_5483,supports
121,831,Claim_4875,Claim_9138,supports
122,169,Claim_3701,Claim_5907,extends
123,678,Claim_1514,Claim_9230,requires
124,879,Claim_2506,Claim_5630,contradicts
125,728,Claim_4843,Claim_7105,extends
126,820,Claim_2916,Claim_7169,extends
127,306,Claim_2710,Claim_5361,extends
128,415,Claim_3493,Claim_7135,extends
129,491,Claim_1990,Claim_9363,requires
130,641,Claim_4877,Claim_8226,requires
131,916,Claim_2282,Claim_9495,supports
132,900,Claim_681,Claim_5308,contradicts
133,72,Claim_1402,Claim_9633,extends
134,716,Claim_3837,Claim_6216,contradicts
135,194,Claim_158,Claim_8491,requires
136,483,Claim_4078,Claim_9233,extends
137,680,Claim_3158,Claim_8732,requires
138,520,Claim_546,Claim_5095,requires
139,4,Claim_4184,Claim_6104,contradicts
140,984,Claim_441,Claim_9124,extends
141,649,Claim_2937,Claim_5682,extends
142,196,Claim_796,Claim_7912,requires
143,591,Claim_1462,Claim_5449,extends
144,688,Claim_2040,Claim_8542,requires
145,86,Claim_3174,Claim_6344,supports
146,85,Claim_3656,Claim_6238,contradicts
147,752,Claim_960,Claim_6151,requires
148,660,Claim_3287,Claim_5475,requires
149,974,Claim_4805,Claim_8468,supports
150,90,Claim_164,Claim_9544,contradicts
151,2,Claim_1961,Claim_5221,extends
152,675,Claim_3912,Claim_8204,requires
153,222,Claim_3376,Claim_5170,requires
154,235,Claim_1694,Claim_6791,contradicts
155,46,Claim_3205,Claim_8204,requires
156,659,Claim_4041,Claim_8508,supports
157,812,Claim_2789,Claim_7902,supports
158,539,Claim_218,Claim_5303,contradicts
159,852,Claim_399,Claim_9985,supports
160,562,Claim_1787,Claim_5353,requires
161,641,Claim_1531,Claim_7955,supports
162,709,Claim_4838,Claim_9138,supports
163,360,Claim_3038,Claim_8532,contradicts
164,320,Claim_638,Claim_9793,contradicts
165,794,Claim_554,Claim_6039,contradicts
166,217,Claim_3423,Claim_5540,requires
167,50,Claim_3046,Claim_5106,extends
168,611,Claim_4788,Claim_9998,supports
169,451,Claim_3269,Claim_5756,supports
170,781,Claim_4135,Claim_5898,contradicts
171,626,Claim_4396,Claim_6725,requires
172,506,Claim_4276,Claim_7159,supports
173,243,Claim_1098,Claim_5768,requires
174,454,Claim_2287,Claim_9617,supports
175,998,Claim_975,Claim_8918,requires
176,450,Claim_2727,Claim_8043,supports
177,993,Claim_333,Claim_7287,extends
178,846,Claim_4045,Claim_7778,extends
179,756,Claim_862,Claim_7724,requires
180,363,Claim_1084,Claim_6453,contradicts
181,54,Claim_4411,Claim_7030,requires
182,37,Claim_1621,Claim_9778,supports
183,219,Claim_3478,Claim_9061,contradicts
184,569,Claim_3518,Claim_8622,contradicts
185,904,Claim_3242,Claim_8867,contradicts
186,874,Claim_1667,Claim_7663,supports
187,910,Claim_2585,Claim_7035,contradicts
188,678,Claim_4046,Claim_7331,extends
189,613,Claim_1120,Claim_9068,supports
190,531,Claim_858,Claim_6400,supports
191,470,Claim_4471,Claim_5367,supports
192,213,Claim_4036,Claim_9422,supports
193,877,Claim_18,Claim_5948,supports
194,256,Claim_1174,Claim_5046,extends
195,868,Claim_1961,Claim_7107,supports
196,833,Claim_3318,Claim_5079,supports
197,591,Claim_3802,Claim_7847,requires
198,722,Claim_4262,Claim_9381,contradicts
199,117,Claim_3282,Claim_8266,supports
200,577,Claim_152,Claim_9086,requires
201,267,Claim_2560,Claim_7178,supports
202,288,Claim_1830,Claim_9834,contradicts
203,763,Claim_3266,Claim_5614,requires
204,982,Claim_1158,Claim_6026,extends
205,478,Claim_3637,Claim_6084,requires
206,108,Claim_153,Claim_7790,contradicts
207,800,Claim_309,Claim_6388,requires
208,20,Claim_1476,Claim_9287,contradicts
209,872,Claim_3378,Claim_7914,contradicts
210,599,Claim_1165,Claim_5746,contradicts
211,393,Claim_4432,Claim_9155,requires
212,925,Claim_2050,Claim_9720,extends
213,871,Claim_1573,Claim_9793,requires
214,282,Claim_2886,Claim_6559,supports
215,546,Claim_350,Claim_6444,extends
216,555,Claim_2409,Claim_9559,requires
217,421,Claim_691,Claim_7489,contradicts
218,262,Claim_1834,Claim_6840,requires
219,926,Claim_1900,Claim_8095,supports
220,636,Claim_508,Claim_9196,contradicts
221,449,Claim_2781,Claim_6825,requires
222,618,Claim_2507,Claim_8628,requires
223,772,Claim_1771,Claim_5858,extends
224,670,Claim_2089,Claim_6473,supports
225,14,Claim_1299,Claim_7339,extends
226,658,Claim_3992,Claim_9401,contradicts
227,161,Claim_1661,Claim_7420,requires
228,742,Claim_643,Claim_7600,supports
229,809,Claim_1308,Claim_5913,requires
230,504,Claim_3304,Claim_5038,requires
231,46,Claim_727,Claim_5162,requires
232,969,Claim_3500,Claim_7600,requires
233,515,Claim_1312,Claim_7544,extends
234,753,Claim_3028,Claim_8454,contradicts
235,566,Claim_1072,Claim_9724,extends
236,571,Claim_2701,Claim_7053,supports
237,644,Claim_2463,Claim_7414,contradicts
238,19,Claim_1906,Claim_9705,requires
239,199,Claim_4318,Claim_6627,contradicts
240,387,Claim_3196,Claim_9938,supports
241,536,Claim_982,Claim_7110,contradicts
242,622,Claim_4351,Claim_8206,supports
243,141,Claim_4957,Claim_8314,contradicts
244,231,Claim_1502,Claim_9554,extends
245,887,Claim_629,Claim_7823,extends
246,23,Claim_3928,Claim_5137,requires
247,914,Claim_4923,Claim_5856,supports
248,816,Claim_2388,Claim_9317,requires
249,529,Claim_3481,Claim_5188,supports
250,368,Claim_509,Claim_9224,extends
251,934,Claim_1956,Claim_7271,contradicts
252,73,Claim_1470,Claim_9966,extends
253,618,Claim_2061,Claim_7844,contradicts
254,772,Claim_713,Claim_9162,extends
255,205,Claim_4065,Claim_9589,supports
256,312,Claim_4026,Claim_7520,extends
257,905,Claim_2868,Claim_5194,requires
258,823,Claim_2528,Claim_6822,extends
259,47,Claim_1639,Claim_9873,contradicts
260,846,Claim_488,Claim_5455,requires
261,521,Claim_3505,Claim_8664,requires
262,888,Claim_2728,Claim_7737,supports
263,36,Claim_2629,Claim_6558,contradicts
264,496,Claim_3144,Claim_5489,extends
265,402,Claim_3706,Claim_6712,extends
266,399,Claim_557,Claim_7205,extends
267,996,Claim_2075,Claim_8865,contradicts
268,87,Claim_2919,Claim_5764,requires
269,753,Claim_1835,Claim_6228,contradicts
270,448,Claim_3406,Claim_5528,contradicts
271,521,Claim_1281,Claim_7167,extends
272,427,Claim_2472,Claim_9471,contradicts
273,77,Claim_3635,Claim_9322,extends
274,713,Claim_3684,Claim_7963,requires
275,486,Claim_1663,Claim_5493,requires
276,70,Claim_2134,Claim_8204,supports
277,82,Claim_4036,Claim_7089,supports
278,610,Claim_3096,Claim_7512,supports
279,920,Claim_494,Claim_5504,extends
280,336,Claim_3378,Claim_9185,extends
281,927,Claim_2704,Claim_9920,requires
282,849,Claim_1036,Claim_8655,extends
283,641,Claim_4562,Claim_8882,requires
284,491,Claim_3133,Claim_7691,contradicts
285,1,Claim_1099,Claim_6839,contradicts
286,962,Claim_3860,Claim_5995,contradicts
287,353,Claim_938,Claim_6584,requires
288,280,Claim_54,Claim_6047,extends
289,429,Claim_2917,Claim_8536,contradicts
290,186,Claim_4671,Claim_6825,requires
291,491,Claim_2966,Claim_8183,extends
292,466,Claim_3030,Claim_7063,contradicts
293,691,Claim_2118,Claim_5114,extends
294,798,Claim_2499,Claim_9786,extends
295,620,Claim_3678,Claim_7960,contradicts
296,338,Claim_1941,Claim_8272,contradicts
297,644,Claim_1389,Claim_6485,supports
298,877,Claim_4739,Claim_7147,requires
299,35,Claim_2718,Claim_7106,contradicts
300,507,Claim_3259,Claim_7934,extends
301,625,Claim_92,Claim_5558,requires
302,395,Claim_4970,Claim_6347,requires
303,64,Claim_2233,Claim_6967,contradicts
304,927,Claim_1203,Claim_9256,requires
305,65,Claim_2894,Claim_9242,extends
306,278,Claim_2184,Claim_6841,supports
307,135,Claim_4776,Claim_8819,extends
308,563,Claim_2605,Claim_7546,contradicts
309,894,Claim_1448,Claim_7297,supports
310,160,Claim_2127,Claim_9388,supports
311,309,Claim_3476,Claim_9224,requires
312,720,Claim_4571,Claim_5384,requires
313,411,Claim_1634,Claim_7089,extends
314,500,Claim_1357,Claim_7518,requires
315,825,Claim_3813,Claim_5849,supports
316,360,Claim_3649,Claim_9505,requires
317,199,Claim_3936,Claim_9400,supports
318,350,Claim_3332,Claim_6005,requires
319,161,Claim_533,Claim_9005,extends
320,388,Claim_3881,Claim_5703,extends
321,760,Claim_4322,Claim_9058,extends
322,65,Claim_2391,Claim_5165,extends
323,928,Claim_618,Claim_9663,supports
324,408,Claim_3483,Claim_8403,supports
325,435,Claim_1390,Claim_7546,requires
326,633,Claim_4470,Claim_9283,requires
327,492,Claim_3222,Claim_6412,supports
328,515,Claim_1136,Claim_6476,contradicts
329,476,Claim_4666,Claim_6486,extends
330,264,Claim_4048,Claim_8317,requires
331,451,Claim_348,Claim_8735,supports
332,402,Claim_3631,Claim_5754,contradicts
333,532,Claim_4676,Claim_7944,requires
334,625,Claim_1155,Claim_7736,requires
335,550,Claim_3036,Claim_6414,extends
336,980,Claim_2585,Claim_6240,supports
337,27,Claim_1550,Claim_7395,supports
338,229,Claim_3617,Claim_6960,contradicts
339,350,Claim_2207,Claim_6054,contradicts
340,490,Claim_786,Claim_5537,contradicts
341,897,Claim_2578,Claim_9243,extends
342,879,Claim_1481,Claim_5543,supports
343,847,Claim_4635,Claim_7730,supports
344,456,Claim_755,Claim_9946,supports
345,462,Claim_214,Claim_8562,requires
346,484,Claim_3502,Claim_9963,extends
347,847,Claim_959,Claim_6717,supports
348,813,Claim_3205,Claim_7440,contradicts
349,250,Claim_4535,Claim_6610,extends
350,410,Claim_2425,Claim_6322,contradicts
351,331,Claim_67,Claim_6827,contradicts
352,251,Claim_1992,Claim_6433,supports
353,34,Claim_822,Claim_6315,contradicts
354,971,Claim_2457,Claim_8306,requires
355,336,Claim_4881,Claim_5566,contradicts
356,594,Claim_4824,Claim_9959,contradicts
357,870,Claim_4677,Claim_8679,requires
358,44,Claim_1905,Claim_5781,requires
359,2,Claim_2953,Claim_8512,extends
360,379,Claim_4521,Claim_6608,extends
361,43,Claim_549,Claim_7178,extends
362,338,Claim_2512,Claim_8039,requires
363,824,Claim_1581,Claim_8245,requires
364,631,Claim_4181,Claim_9224,extends
365,448,Claim_4101,Claim_8552,extends
366,430,Claim_2461,Claim_7556,contradicts
367,920,Claim_4748,Claim_9160,supports
368,32,Claim_3308,Claim_6590,extends
369,803,Claim_3380,Claim_8674,extends
370,579,Claim_1144,Claim_5223,requires
371,841,Claim_189,Claim_7251,extends
372,889,Claim_4756,Claim_7413,extends
373,631,Claim_4996,Claim_6149,supports
374,92,Claim_1433,Claim_7182,requires
375,269,Claim_1741,Claim_7796,supports
376,442,Claim_4933,Claim_8960,extends
377,62,Claim_4718,Claim_9744,extends
378,515,Claim_3934,Claim_6101,supports
379,97,Claim_1134,Claim_5152,extends
380,524,Claim_1238,Claim_9851,extends
381,602,Claim_4881,Claim_5336,supports
382,378,Claim_22,Claim_8011,contradicts
383,963,Claim_2442,Claim_9015,requires
384,81,Claim_3561,Claim_9578,supports
385,741,Claim_3181,Claim_9202,supports
386,973,Claim_1946,Claim_5313,contradicts
387,745,Claim_253,Claim_5051,contradicts
388,699,Claim_2213,Claim_8441,supports
389,82,Claim_1644,Claim_5971,contradicts
390,217,Claim_1969,Claim_8411,supports
391,938,Claim_2931,Claim_9044,contradicts
392,201,Claim_1522,Claim_5839,supports
393,123,Claim_2819,Claim_7180,contradicts
394,635,Claim_1066,Claim_9735,supports
395,777,Claim_3883,Claim_9877,supports
396,611,Claim_3105,Claim_5387,supports
397,241,Claim_3108,Claim_7399,supports
398,502,Claim_3411,Claim_7597,extends
399,19,Claim_3020,Claim_9702,contradicts
400,556,Claim_1672,Claim_8260,supports
401,923,Claim_4670,Claim_5224,supports
402,431,Claim_4259,Claim_5112,supports
403,775,Claim_673,Claim_7788,extends
404,760,Claim_3411,Claim_5148,requires
405,299,Claim_1723,Claim_9985,contradicts
406,373,Claim_1603,Claim_7186,requires
407,213,Claim_1034,Claim_5482,supports
408,871,Claim_4780,Claim_8392,supports
409,969,Claim_955,Claim_8045,extends
410,343,Claim_1651,Claim_5238,contradicts
411,226,Claim_1467,Claim_7818,requires
412,763,Claim_1416,Claim_7526,supports
413,885,Claim_2462,Claim_9882,requires
414,45,Claim_2169,Claim_8374,contradicts
415,565,Claim_2708,Claim_7644,contradicts
416,100,Claim_3314,Claim_9671,extends
417,167,Claim_2317,Claim_5259,contradicts
418,914,Claim_3691,Claim_7370,supports
419,83,Claim_4635,Claim_6679,contradicts
420,204,Claim_4644,Claim_5805,supports
421,241,Claim_4204,Claim_9745,supports
422,711,Claim_3248,Claim_8280,requires
423,452,Claim_218,Claim_7952,extends
424,75,Claim_4157,Claim_7722,requires
425,544,Claim_351,Claim_7140,extends
426,621,Claim_2134,Claim_6183,supports
427,34,Claim_4218,Claim_9351,extends
428,335,Claim_4423,Claim_7658,requires
429,527,Claim_1638,Claim_9987,supports
430,197,Claim_3918,Claim_5195,extends
431,464,Claim_3863,Claim_6689,supports
432,158,Claim_424,Claim_8017,requires
433,581,Claim_2506,Claim_9255,contradicts
434,211,Claim_505,Claim_8744,contradicts
435,533,Claim_3759,Claim_9516,supports
436,824,Claim_1548,Claim_7100,supports
437,741,Claim_4854,Claim_7860,supports
438,947,Claim_2243,Claim_5117,contradicts
439,59,Claim_589,Claim_9535,supports
440,249,Claim_3165,Claim_5615,requires
441,900,Claim_275,Claim_5020,supports
442,992,Claim_2263,Claim_9217,contradicts
443,312,Claim_895,Claim_6108,extends
444,682,Claim_2055,Claim_9148,supports
445,9,Claim_4774,Claim_7330,contradicts
446,170,Claim_2608,Claim_7678,extends
447,717,Claim_4688,Claim_8156,extends
448,331,Claim_2959,Claim_8534,supports
449,279,Claim_2204,Claim_5829,extends
450,680,Claim_4621,Claim_9441,requires
451,63,Claim_514,Claim_5480,extends
452,678,Claim_1059,Claim_5993,contradicts
453,150,Claim_4824,Claim_7096,supports
454,509,Claim_3534,Claim_5898,supports
455,99,Claim_2523,Claim_9220,extends
456,162,Claim_2053,Claim_5310,requires
457,768,Claim_2809,Claim_6111,requires
458,833,Claim_626,Claim_6080,supports
459,398,Claim_3383,Claim_9617,contradicts
460,529,Claim_722,Claim_5495,supports
461,79,Claim_527,Claim_6350,extends
462,225,Claim_188,Claim_6005,requires
463,466,Claim_4749,Claim_8126,contradicts
464,378,Claim_3197,Claim_8807,extends
465,192,Claim_1814,Claim_9493,extends
466,398,Claim_4137,Claim_7519,supports
467,301,Claim_1974,Claim_7518,contradicts
468,403,Claim_1392,Claim_6436,supports
469,768,Claim_3987,Claim_7162,supports
470,322,Claim_1637,Claim_9198,supports
471,351,Claim_3009,Claim_5061,contradicts
472,166,Claim_4299,Claim_5563,requires
473,557,Claim_1896,Claim_8255,extends
474,340,Claim_3651,Claim_9030,extends
475,88,Claim_216,Claim_9112,requires
476,190,Claim_3825,Claim_7349,supports
477,977,Claim_413,Claim_8054,supports
478,939,Claim_2866,Claim_8773,supports
479,383,Claim_2782,Claim_7754,supports
480,566,Claim_2556,Claim_9858,contradicts
481,736,Claim_3016,Claim_6372,requires
482,263,Claim_2022,Claim_7601,extends
483,142,Claim_787,Claim_8965,extends
484,132,Claim_4520,Claim_7503,extends
485,271,Claim_4297,Claim_8929,extends
486,581,Claim_4381,Claim_5490,extends
487,24,Claim_1270,Claim_5624,requires
488,177,Claim_3146,Claim_7576,supports
489,670,Claim_1999,Claim_7153,extends
490,34,Claim_2559,Claim_7750,requires
491,529,Claim_912,Claim_7001,supports
492,298,Claim_2973,Claim_8111,extends
493,739,Claim_3055,Claim_6861,supports
494,224,Claim_496,Claim_6135,contradicts
495,871,Claim_536,Claim_6800,supports
496,16,Claim_947,Claim_5927,extends
497,68,Claim_2308,Claim_8476,contradicts
498,853,Claim_2519,Claim_6515,supports
499,289,Claim_2035,Claim_8810,requires
500,515,Claim_228,Claim_8042,contradicts
501,680,Claim_1132,Claim_6091,requires
502,989,Claim_3886,Claim_5193,extends
503,438,Claim_435,Claim_7505,requires
504,410,Claim_3876,Claim_9782,requires
505,713,Claim_1506,Claim_7880,requires
506,688,Claim_4847,Claim_8573,contradicts
507,80,Claim_522,Claim_6735,contradicts
508,16,Claim_3669,Claim_8560,contradicts
509,633,Claim_3116,Claim_8701,extends
510,718,Claim_3664,Claim_8301,extends
511,223,Claim_4627,Claim_8366,supports
512,969,Claim_329,Claim_8629,supports
513,933,Claim_869,Claim_7316,requires
514,322,Claim_391,Claim_7918,extends
515,132,Claim_373,Claim_5780,supports
516,148,Claim_3962,Claim_5068,contradicts
517,146,Claim_1054,Claim_8026,extends
518,242,Claim_1133,Claim_6723,supports
519,828,Claim_2495,Claim_6903,extends
520,115,Claim_3329,Claim_5610,requires
521,416,Claim_3864,Claim_7519,contradicts
522,934,Claim_3386,Claim_9770,requires
523,41,Claim_3996,Claim_5938,supports
524,619,Claim_4318,Claim_9752,contradicts
525,920,Claim_557,Claim_5901,supports
526,379,Claim_4048,Claim_9466,requires
527,132,Claim_1966,Claim_9776,supports
528,936,Claim_1616,Claim_9053,supports
529,330,Claim_3023,Claim_9226,requires
530,11,Claim_1490,Claim_8296,contradicts
531,134,Claim_1723,Claim_8304,extends
532,742,Claim_2477,Claim_7777,contradicts
533,729,Claim_3083,Claim_9758,extends
534,457,Claim_567,Claim_7304,requires
535,663,Claim_4518,Claim_9071,contradicts
536,886,Claim_212,Claim_9253,supports
537,366,Claim_3765,Claim_5537,supports
538,911,Claim_4078,Claim_9331,contradicts
539,648,Claim_2514,Claim_7287,supports
540,62,Claim_1280,Claim_8993,contradicts
541,793,Claim_4170,Claim_9935,contradicts
542,175,Claim_2263,Claim_7514,extends
543,453,Claim_4977,Claim_6679,requires
544,400,Claim_3505,Claim_5428,contradicts
545,317,Claim_4414,Claim_8255,requires
546,120,Claim_980,Claim_9412,supports
547,417,Claim_556,Claim_9310,extends
548,758,Claim_4013,Claim_8609,extends
549,303,Claim_3649,Claim_8799,contradicts
550,603,Claim_3422,Claim_8590,contradicts
551,384,Claim_1028,Claim_8792,extends
552,709,Claim_1986,Claim_5839,supports
553,326,Claim_3403,Claim_9060,contradicts
554,876,Claim_2334,Claim_5991,extends
555,811,Claim_2746,Claim_7272,contradicts
556,352,Claim_3590,Claim_9893,requires
557,653,Claim_245,Claim_8771,supports
558,488,Claim_3621,Claim_5453,contradicts
559,647,Claim_3058,Claim_7764,extends
560,28,Claim_162,Claim_5584,requires
561,201,Claim_851,Claim_7148,supports
562,155,Claim_3857,Claim_6410,contradicts
563,602,Claim_1437,Claim_5889,extends
564,589,Claim_4541,Claim_7928,requires
565,459,Claim_1042,Claim_7117,supports
566,376,Claim_2999,Claim_7802,extends
567,335,Claim_857,Claim_9081,requires
568,296,Claim_4357,Claim_7910,requires
569,329,Claim_1279,Claim_8306,contradicts
570,935,Claim_1276,Claim_7210,extends
571,449,Claim_2522,Claim_6266,extends
572,801,Claim_1261,Claim_5194,extends
573,131,Claim_421,Claim_7255,supports
574,4,Claim_3428,Claim_7397,requires
575,43,Claim_3749,Claim_6327,requires
576,349,Claim_1282,Claim_5506,supports
577,742,Claim_2283,Claim_9207,requires
578,430,Claim_386,Claim_8369,requires
579,974,Claim_1900,Claim_8598,extends
580,383,Claim_275,Claim_5451,extends
581,165,Claim_961,Claim_9694,contradicts
582,400,Claim_1599,Claim_6470,supports
583,384,Claim_9,Claim_8461,contradicts
584,43,Claim_3252,Claim_9656,requires
585,933,Claim_930,Claim_7751,contradicts
586,280,Claim_2878,Claim_6038,extends
587,407,Claim_2049,Claim_9755,contradicts
588,74,Claim_848,Claim_5224,supports
589,814,Claim_1398,Claim_5272,requires
590,504,Claim_3309,Claim_5280,contradicts
591,60,Claim_3375,Claim_6178,extends
592,969,Claim_1528,Claim_5792,contradicts
593,123,Claim_3820,Claim_7581,supports
594,617,Claim_3083,Claim_8873,extends
595,912,Claim_4724,Claim_8341,supports
596,346,Claim_4285,Claim_8526,contradicts
597,240,Claim_661,Claim_7217,extends
598,277,Claim_1460,Claim_6471,supports
599,508,Claim_383,Claim_7350,extends
600,81,Claim_371,Claim_8731,requires
601,173,Claim_1360,Claim_6175,requires
602,260,Claim_4895,Claim_7724,extends
603,752,Claim_3279,Claim_8987,contradicts
604,169,Claim_4430,Claim_8257,supports
605,85,Claim_3983,Claim_8211,requires
606,684,Claim_4341,Claim_8689,extends
607,928,Claim_4118,Claim_9227,supports
608,121,Claim_851,Claim_5523,extends
609,34,Claim_2868,Claim_6411,extends
610,968,Claim_1703,Claim_9339,extends
611,373,Claim_1347,Claim_6212,extends
612,477,Claim_4046,Claim_7748,supports
613,277,Claim_2348,Claim_9295,supports
614,408,Claim_1984,Claim_6533,contradicts
615,286,Claim_4508,Claim_9993,requires
616,563,Claim_2051,Claim_8357,supports
617,286,Claim_899,Claim_6388,requires
618,108,Claim_3245,Claim_8002,contradicts
619,647,Claim_2548,Claim_6064,requires
620,600,Claim_2029,Claim_6609,requires
621,58,Claim_1084,Claim_5990,contradicts
622,687,Claim_3121,Claim_5635,requires
623,628,Claim_286,Claim_7555,requires
624,686,Claim_3114,Claim_5597,supports
625,153,Claim_3501,Claim_8005,contradicts
626,301,Claim_677,Claim_9809,supports
627,776,Claim_2173,Claim_6626,requires
628,477,Claim_272,Claim_6368,requires
629,470,Claim_270,Claim_7705,supports
630,211,Claim_2633,Claim_8388,extends
631,244,Claim_3696,Claim_6531,contradicts
632,407,Claim_2200,Claim_7667,requires
633,10,Claim_2410,Claim_9402,contradicts
634,894,Claim_708,Claim_5697,supports
635,934,Claim_3315,Claim_7624,requires
636,750,Claim_1928,Claim_6442,extends
637,690,Claim_3312,Claim_8975,supports
638,779,Claim_946,Claim_5631,requires
639,521,Claim_2759,Claim_5935,extends
640,356,Claim_4938,Claim_6404,requires
641,183,Claim_4766,Claim_5633,requires
642,612,Claim_2386,Claim_6144,extends
643,134,Claim_4972,Claim_6164,contradicts
644,253,Claim_4476,Claim_7108,supports
645,566,Claim_3630,Claim_7707,requires
646,990,Claim_3198,Claim_5710,requires
647,415,Claim_3067,Claim_8970,extends
648,164,Claim_2117,Claim_7983,extends
649,447,Claim_3547,Claim_5116,requires
650,600,Claim_4585,Claim_6772,extends
651,679,Claim_2316,Claim_5391,extends
652,751,Claim_1594,Claim_8866,extends
653,402,Claim_921,Claim_7881,extends
654,873,Claim_3188,Claim_8397,requires
655,392,Claim_4241,Claim_5194,supports
656,493,Claim_4824,Claim_8025,requires
