sample_id,hidden_dim,hidden_mean,hidden_std,hidden_norm,final_token_entropy,max_logit,logit_margin,attention_dispersion,retrieval_confidence,semantic_consistency,target_semantic_entropy,hallucination_label
51,64,0.244514,0.089101,26.671114,2.82196,0.813061,9.641245,0.135699,0.461698,0.050285,0.578895,1
52,64,-0.346308,1.153783,25.851942,3.760049,24.957729,3.784073,0.081906,0.019383,0.539419,0.664329,1
53,64,0.999816,0.557442,40.757925,3.906165,19.55264,11.313498,0.949612,0.199361,0.02038,0.813282,1
54,64,0.338918,0.867756,16.98805,3.497325,23.006943,2.516837,0.607247,0.747926,0.114533,0.671962,1
55,64,0.638602,1.448845,10.945431,0.128392,9.358717,10.160209,0.958173,0.396654,0.715015,0.498832,0
56,64,0.254485,0.197757,47.486449,4.251466,18.012348,1.815826,0.983844,0.782635,0.347204,0.638432,1
57,64,-0.143244,0.587328,32.827843,1.706156,25.487269,12.334964,0.105539,0.960788,0.635585,0.273631,0
58,64,-0.129026,1.114003,58.101055,1.350412,24.245977,8.072594,0.483498,0.435574,0.731026,0.338437,0
59,64,-0.463209,1.284984,50.690206,0.433314,26.448936,3.657952,0.464708,0.610332,0.378989,0.588663,1
60,64,-0.63632,0.357574,48.88078,1.701694,26.409599,10.517756,0.276269,0.010151,0.948063,0.403616,0
61,64,-0.828774,1.094108,31.871782,3.790823,20.71828,9.688543,0.490821,0.792933,0.093053,0.617503,1
62,64,-0.387588,0.893256,31.029327,2.65461,12.765114,11.189032,0.330791,0.702855,0.270916,0.572859,1
63,64,-0.497193,0.224951,15.592136,0.597774,16.075919,11.432844,0.18515,0.216385,0.484199,0.422373,0
64,64,0.049274,0.460348,10.528936,0.970588,6.824495,2.691623,0.014148,0.534135,0.274311,0.363106,0
65,64,0.94859,0.852371,43.357957,0.631397,26.053836,7.36318,0.87272,0.574064,0.469397,0.44802,0
66,64,-0.897247,1.414542,31.275105,4.110578,12.021223,1.111233,0.629446,0.053609,0.149198,0.872047,1
67,64,0.125679,0.490561,59.665497,0.592258,22.933303,9.094765,0.790741,0.225687,0.522573,0.461764,0
68,64,0.720333,1.485545,21.795913,3.105137,18.288927,11.10134,0.94759,0.207788,0.211025,0.754158,1
69,64,0.320856,0.277733,14.559745,0.375324,0.080272,6.757556,0.593811,0.291259,0.231476,0.560202,1
70,64,-0.091937,1.046708,55.815107,3.93914,18.75174,9.917746,0.933668,0.425139,0.544562,0.508354,0
71,64,0.295269,1.367197,50.464714,0.357049,4.977684,4.614177,0.748958,0.569207,0.288611,0.611335,1
72,64,0.399467,1.416881,32.52597,2.468976,2.413256,0.597912,0.432029,0.322322,0.250368,0.746099,1
73,64,-0.817346,1.444771,50.977724,2.875996,28.523588,14.993586,0.672282,0.269511,0.040232,0.722471,1
74,64,0.303019,1.378306,14.981903,2.926648,19.043542,7.375887,0.091242,0.347961,0.333308,0.533706,0
75,64,0.340267,1.293713,23.139201,3.468368,8.646534,14.177903,0.813566,0.550097,0.454826,0.519873,0
76,64,0.940369,0.636054,33.302794,4.940596,19.729812,8.138904,0.413248,0.187583,0.361779,0.723572,1
77,64,0.512886,0.956843,46.799479,1.017791,16.476589,13.915091,0.438116,0.69825,0.121426,0.563948,1
78,64,-0.521405,0.279648,35.296145,2.761257,2.796276,14.883857,0.91293,0.461448,0.117466,0.616247,1
79,64,0.664286,0.772644,44.413183,2.54436,8.202747,12.520859,0.980245,0.243731,0.551265,0.47874,0
80,64,0.016482,1.325023,52.521481,1.381237,23.700185,6.224136,0.934248,0.507738,0.820549,0.498821,0
81,64,-0.434322,0.482906,37.281575,4.994512,14.68921,2.228931,0.538581,0.345124,0.551917,0.5724,1
82,64,-0.356445,0.323546,43.362414,2.858988,7.006873,11.633167,0.043647,0.744705,0.705228,0.275504,0
83,64,0.622818,0.609814,41.502886,4.103738,29.424544,7.42993,0.03702,0.502291,0.59018,0.535025,0
84,64,-0.119388,0.812629,30.131044,3.612219,12.299359,9.82172,0.154361,0.469491,0.969204,0.254472,0
85,64,-0.322878,1.054422,40.741016,4.258826,25.57024,12.890133,0.380009,0.316661,0.718717,0.490252,0
86,64,-0.928202,0.14921,39.713856,4.604645,29.922778,11.201496,0.433971,0.098443,0.633748,0.464131,0
87,64,0.745158,0.693334,43.170064,4.51712,1.379729,11.942152,0.293368,0.374841,0.14557,0.600325,1
88,64,0.585039,0.296476,9.343259,4.354198,18.591311,3.612447,0.912829,0.143118,0.46115,0.697958,1
89,64,-0.492045,0.420224,5.516859,4.023165,27.036283,10.164163,0.157976,0.44173,0.345566,0.490523,0
90,64,-0.151382,0.412642,51.491716,0.996085,11.540797,7.248121,0.237206,0.571923,0.574812,0.337555,0
91,64,0.985384,0.478085,58.786947,3.291149,8.234411,8.488935,0.685799,0.744669,0.049044,0.577347,1
92,64,0.808311,0.464982,48.937307,3.035325,10.569629,9.549268,0.620891,0.677764,0.720928,0.346901,0
93,64,0.318363,1.265589,39.553646,4.517019,19.390218,4.633993,0.440823,0.579574,0.73236,0.524954,0
94,64,0.494962,0.304678,12.268789,2.697039,29.144687,7.962786,0.913487,0.830473,0.25697,0.554209,1
95,64,0.64938,0.748679,49.356867,3.732797,10.161458,1.727546,0.962893,0.140757,0.9665,0.599458,1
96,64,0.959884,1.452541,49.25232,1.828875,23.720459,0.20878,0.536572,0.454786,0.672828,0.444572,0
97,64,0.344682,0.897612,50.232952,4.701459,3.250383,3.507329,0.025025,0.884235,0.561407,0.463007,0
98,64,-0.873566,1.24459,55.01632,1.510951,12.248876,2.096655,0.946262,0.304365,0.492625,0.600997,1
99,64,-0.805616,1.336526,12.461523,2.268219,20.114587,11.147102,0.945974,0.419127,0.742269,0.49753,0
100,64,-0.801957,0.759553,27.446374,4.757608,0.981489,5.557949,0.443383,0.950555,0.85545,0.381013,0
101,64,-0.801291,1.044236,34.945622,4.889213,10.760215,5.972095,0.189809,0.12216,0.848033,0.462541,0
102,64,0.283409,0.915862,6.17466,3.933973,7.307067,1.888858,0.564578,0.06861,0.765157,0.628149,1
103,64,-0.585685,0.363129,52.833248,1.642798,4.426625,13.507966,0.002836,0.858406,0.144688,0.432379,0
104,64,-0.651006,1.008534,6.417908,0.074302,23.69954,3.568974,0.323771,0.174246,0.052399,0.710217,1
105,64,0.483436,0.812824,46.01159,2.38123,23.340511,7.698569,0.109054,0.503839,0.945416,0.385465,0
106,64,0.733962,0.806104,30.192339,4.820131,1.824762,7.184729,0.401617,0.686097,0.490269,0.544148,0
107,64,0.819402,0.156562,9.443476,3.041487,1.970467,4.12524,0.633077,0.548356,0.325185,0.642821,1
108,64,-0.092569,0.927869,10.454815,3.508897,25.583782,9.76375,0.768963,0.72084,0.215023,0.590457,1
109,64,-0.09689,0.381316,23.641239,2.267495,12.47969,1.426288,0.426764,0.665108,0.374301,0.581642,1
110,64,-0.865733,1.256069,10.127656,0.482822,22.16388,12.176539,0.556371,0.586465,0.561586,0.48033,0
111,64,-0.340708,0.227235,24.447894,3.326703,22.508528,13.021382,0.721061,0.968399,0.60041,0.301281,0
112,64,-0.574522,1.002268,17.333468,0.541092,25.361203,5.513416,0.762606,0.5741,0.807221,0.415821,0
113,64,0.69031,1.463093,50.013477,3.067866,19.280975,0.393807,0.929084,0.829461,0.267448,0.663092,1
114,64,-0.382031,0.542746,5.335818,4.349314,16.989633,6.011765,0.141875,0.633172,0.030657,0.72421,1
115,64,0.492224,0.361943,28.090787,1.70448,11.101593,10.82394,0.776836,0.567594,0.084957,0.624769,1
116,64,0.235676,1.027255,19.965656,3.309693,14.569851,6.630663,0.273167,0.754943,0.113818,0.597571,1
117,64,-0.140173,0.460707,42.316744,2.433164,20.013977,0.68126,0.395263,0.599325,0.007687,0.659879,1
118,64,-0.72553,0.420503,23.04673,0.03865,22.410424,2.635422,0.380207,0.703671,0.500262,0.41728,0
119,64,0.666708,1.21899,8.964152,4.308822,1.269068,0.281123,0.921162,0.86211,0.575759,0.472692,0
120,64,-0.164612,0.217001,6.147111,1.623841,24.039665,9.271879,0.832026,0.91977,0.08813,0.481565,0
121,64,0.688969,0.402809,37.387921,2.619813,11.873001,4.654118,0.339513,0.333069,0.168133,0.628281,1
122,64,0.019904,1.363588,24.21564,3.636896,24.568458,12.225555,0.236269,0.146444,0.197272,0.689407,1
123,64,0.204798,1.152312,41.052996,0.885731,23.185443,7.411755,0.754446,0.759877,0.448905,0.501215,0
124,64,0.270597,0.955557,52.533578,3.136087,4.528722,1.024294,0.442208,0.30282,0.274674,0.661913,1
125,64,-0.887656,0.785638,22.072432,2.259569,1.706702,12.475449,0.076731,0.86425,0.855293,0.158455,0
126,64,-0.074577,0.853759,48.549979,4.479384,13.492011,12.147239,0.651837,0.321527,0.475629,0.560859,1
127,64,-0.698278,0.139717,10.692603,4.495634,10.303133,10.714733,0.504549,0.172559,0.247744,0.638966,1
128,64,0.045496,0.280182,25.506859,1.414468,12.263082,5.075507,0.597886,0.789227,0.647305,0.374368,0
129,64,-0.868176,0.187034,42.310864,1.420735,21.71201,9.848461,0.906343,0.87328,0.333362,0.414874,0
130,64,-0.300358,1.45316,43.416398,1.95979,17.851237,14.070033,0.309582,0.376679,0.791662,0.359422,0
131,64,0.62637,1.021669,50.592744,3.693873,20.562433,7.8959,0.646025,0.423406,0.361828,0.603855,1
132,64,-0.571615,1.424119,31.744901,1.132715,4.126961,1.157476,0.844428,0.101141,0.770875,0.587047,1
133,64,0.67024,1.331339,7.076112,1.683822,22.989228,1.965736,0.37672,0.162247,0.831345,0.499953,0
134,64,-0.668922,0.684626,27.597224,3.381815,7.125906,6.662981,0.284928,0.748537,0.448928,0.373901,0
135,64,0.068022,0.498728,49.474313,2.345078,25.053402,5.517614,0.94713,0.98444,0.46168,0.427482,0
136,64,0.05492,1.451089,49.929018,4.006296,4.151956,3.750048,0.641179,0.874117,0.554541,0.543127,0
137,64,-0.794821,1.276544,51.814133,1.425315,22.893505,4.091869,0.905306,0.147349,0.437473,0.692052,1
138,64,-0.097744,0.556898,6.46686,0.266284,15.060213,3.536671,0.994525,0.374913,0.028188,0.687127,1
139,64,0.861652,1.266806,40.747838,3.956903,4.127988,4.303191,0.829762,0.696072,0.138793,0.677582,1
140,64,-0.989498,0.164877,19.075816,4.174815,16.464127,10.908522,0.527772,0.111187,0.288102,0.62972,1
141,64,-0.397698,0.119237,28.090405,3.969496,13.713408,1.662868,0.905147,0.596739,0.016435,0.71051,1
142,64,-0.712846,0.672396,38.814527,1.202821,12.497028,9.96557,0.085614,0.974654,0.067679,0.429681,0
143,64,0.052119,0.785625,59.358232,2.77076,11.713612,7.052026,0.635671,0.981039,0.25365,0.579505,1
144,64,-0.310395,1.112764,39.554133,3.857507,22.05561,4.987779,0.044336,0.546014,0.813509,0.411747,0
145,64,-0.649822,1.179757,30.554259,3.476946,18.952075,12.172465,0.063101,0.77619,0.45768,0.410524,0
146,64,-0.60106,0.110764,56.335404,2.576918,29.673681,8.14546,0.253314,0.753291,0.191103,0.511231,0
147,64,-0.286052,1.18222,52.618905,1.659623,3.73425,5.520288,0.889487,0.743308,0.894637,0.240293,0
148,64,-0.007594,0.771409,55.837076,2.596379,24.034443,10.90622,0.078927,0.602453,0.822341,0.388511,0
149,64,0.090949,0.515757,9.40379,3.304596,9.194876,9.039324,0.426116,0.689765,0.351547,0.600648,1
150,64,-0.294881,1.497318,20.100545,4.900136,28.437131,1.125617,0.637513,0.363311,0.801096,0.608515,1
151,64,0.358821,1.431545,12.852871,3.037865,23.439359,0.521984,0.067233,0.778515,0.366328,0.471292,0
152,64,0.21019,1.03464,57.185294,1.860067,22.892534,8.608827,0.52946,0.398034,0.649561,0.502436,0
153,64,-0.500777,0.2145,45.462117,2.49522,11.609621,8.425091,0.261777,0.26029,0.446273,0.571743,1
154,64,0.832958,0.76224,11.745058,4.264131,13.561281,13.480185,0.445111,0.087791,0.681929,0.546416,0
155,64,0.691042,0.513402,24.108391,0.324695,16.265141,13.369975,0.851362,0.711809,0.927324,0.162731,0
156,64,0.017511,0.225976,16.05392,0.694384,23.711192,0.39426,0.554021,0.368911,0.803662,0.340004,0
157,64,0.103294,0.937325,9.741851,1.546454,29.987851,10.783045,0.525696,0.769165,0.823339,0.397696,0
158,64,0.284677,0.702463,42.405994,1.722574,26.338805,11.703944,0.639794,0.181963,0.966265,0.437241,0
159,64,-0.134763,1.370533,8.047707,0.620806,4.590464,2.469856,0.322661,0.709332,0.346023,0.580574,1
160,64,0.691867,0.413378,39.92814,2.754207,3.755109,4.542369,0.533478,0.502573,0.168636,0.596294,1
161,64,0.883214,0.273582,41.230308,3.603164,18.154167,12.63795,0.563618,0.825236,0.028373,0.641795,1
162,64,0.153542,0.994138,47.182745,2.082934,19.169736,7.470571,0.627164,0.289672,0.95665,0.421472,0
163,64,-0.03411,1.216798,42.674496,1.487169,2.189191,0.898695,0.439605,0.484251,0.204023,0.596746,1
164,64,0.436726,1.11459,52.342755,4.876871,3.922985,5.558103,0.561651,0.319116,0.466473,0.632637,1
165,64,-0.465057,0.409482,10.324641,1.45106,11.524495,9.230662,0.24827,0.865308,0.1597,0.417552,0
166,64,-0.37457,1.156526,32.404605,2.573624,14.962791,4.628107,0.023176,0.945233,0.505444,0.432042,0
167,64,0.933373,0.361959,24.40923,0.252702,14.846826,13.235092,0.65426,0.470587,0.536691,0.421789,0
168,64,0.764911,1.104887,47.012122,1.829687,12.017449,8.554225,0.194655,0.553223,0.073532,0.546616,0
169,64,0.008511,1.158386,20.384637,4.945454,20.411959,1.782165,0.975083,0.393904,0.794897,0.533133,0
170,64,0.50993,0.338634,33.001738,2.50039,1.359101,2.055546,0.333041,0.473744,0.456989,0.627712,1
171,64,0.212521,0.797483,23.038122,3.065341,4.875061,14.859236,0.739319,0.299234,0.336373,0.629989,1
172,64,0.41748,0.484696,49.866186,1.841789,20.214192,14.69847,0.583702,0.796755,0.725324,0.224403,0
173,64,0.376087,0.088638,31.102462,4.835353,23.48712,11.64243,0.577634,0.7214,0.583523,0.477303,0
174,64,0.239472,1.269692,13.127664,3.403634,0.947115,14.223078,0.109896,0.018937,0.313692,0.707887,1
175,64,-0.697137,1.051225,27.570758,3.874862,27.615628,13.092266,0.735837,0.062281,0.138082,0.785431,1
176,64,0.324454,0.811942,22.256393,0.865912,27.363725,5.134905,0.354287,0.77199,0.720925,0.351669,0
177,64,0.286618,1.055304,38.554212,0.961321,7.395574,8.3713,0.224867,0.972911,0.297615,0.375033,0
178,64,0.409977,0.509709,24.184175,4.668502,23.862161,4.101863,0.121874,0.676622,0.379694,0.5729,1
179,64,0.960321,1.236647,57.503487,4.023079,8.71358,4.314455,0.714141,0.346364,0.442376,0.660831,1
180,64,-0.595864,0.830938,56.316316,3.480857,4.118189,9.235156,0.58683,0.242458,0.669834,0.591239,1
181,64,0.062083,0.97502,7.887011,2.066507,21.520742,1.508174,0.770766,0.005181,0.550353,0.713719,1
182,64,0.870064,1.323679,31.259669,0.99728,28.917421,4.817516,0.645898,0.907937,0.089461,0.526197,0
183,64,0.148267,0.825971,44.771472,4.683347,27.396892,2.625972,0.882245,0.175789,0.919635,0.623214,1
184,64,-0.009232,1.408083,57.917226,4.630198,26.302295,0.139008,0.567962,0.107301,0.982994,0.569945,1
185,64,-0.430877,1.484194,34.881527,2.469562,28.156815,12.765896,0.468021,0.192811,0.112647,0.726583,1
186,64,-0.48547,0.319989,45.513984,3.953838,17.033437,11.359241,0.175495,0.856147,0.897043,0.29035,0
187,64,0.65398,0.797157,9.770577,3.346279,5.543436,2.109178,0.323602,0.248047,0.260785,0.699577,1
188,64,0.90807,0.487821,44.758539,0.057179,19.610501,10.391529,0.062124,0.118225,0.306806,0.601336,1
189,64,-0.189167,0.778655,54.23151,3.517785,9.329338,1.761236,0.91613,0.295038,0.614625,0.627643,1
190,64,-0.693629,1.134216,38.315642,2.079228,16.477035,7.062421,0.537518,0.664094,0.218412,0.590657,1
191,64,-0.505069,1.144372,53.022428,0.409352,13.402439,10.556492,0.078103,0.564169,0.061758,0.468505,0
192,64,0.145403,0.267286,23.04647,2.601708,3.487201,3.081022,0.583148,0.090942,0.510375,0.605868,1
193,64,0.617384,0.707477,33.228631,2.283992,1.732103,6.935675,0.806915,0.72328,0.395949,0.540712,0
194,64,0.156623,0.11567,23.949088,0.3188,29.82371,14.018742,0.069019,0.933776,0.031735,0.306667,0
195,64,-0.182266,1.165009,47.120523,4.891666,19.376425,6.305429,0.992857,0.38248,0.86962,0.583285,1
196,64,0.365461,1.009599,34.661515,3.26767,10.433097,2.677104,0.537258,0.528843,0.727858,0.45377,0
197,64,-0.55462,0.055036,6.250443,1.491815,20.204996,8.16668,0.531934,0.82336,0.247512,0.430057,0
198,64,0.874821,1.101285,11.206455,4.047391,12.577218,11.490802,0.883757,0.015646,0.206082,0.826907,1
199,64,-0.798207,0.098686,37.878169,3.516431,1.46029,11.108116,0.402265,0.234339,0.217269,0.651495,1
200,64,0.007792,0.469432,49.868244,3.657587,9.567111,8.968765,0.672532,0.320665,0.301764,0.634179,1
201,64,-0.713479,1.007308,17.157351,1.502505,1.828729,14.227804,0.879714,0.911578,0.625993,0.272294,0
202,64,0.94458,1.4153,41.923839,3.929023,9.562034,6.24487,0.149218,0.37646,0.754416,0.506011,0
203,64,-0.052962,1.281544,21.540503,3.537884,24.173285,13.721118,0.562386,0.967786,0.557287,0.401446,0
204,64,-0.593327,0.987723,55.722436,4.235667,2.77392,10.868771,0.190482,0.268462,0.673672,0.531519,0
205,64,0.205844,1.31675,15.348981,3.808482,21.729157,8.382757,0.479394,0.869474,0.332964,0.524766,0
206,64,0.87432,1.445012,11.452391,4.99786,14.367626,3.638898,0.604402,0.204513,0.915126,0.560516,1
207,64,0.104159,1.174495,25.936396,2.668251,10.777787,3.923424,0.512817,0.497277,0.098608,0.741402,1
208,64,0.679462,1.375779,25.388771,2.069651,16.875742,3.319111,0.145923,0.260774,0.934758,0.401462,0
209,64,0.158286,0.655488,13.382628,1.649326,11.395193,12.500441,0.499301,0.654608,0.684847,0.330303,0
210,64,0.933017,0.980457,31.982757,0.841168,23.849265,2.538986,0.720314,0.488316,0.916899,0.462765,0
211,64,0.084274,0.980624,8.230263,0.169119,25.400921,14.177822,0.668216,0.764339,0.412392,0.394568,0
212,64,0.414339,0.063255,32.815311,1.866003,18.535057,10.001321,0.616519,0.483204,0.487854,0.431199,0
213,64,-0.986775,0.849883,5.651803,2.647088,8.242222,14.66219,0.017143,0.813157,0.674033,0.310412,0
214,64,-0.785967,0.189655,13.189362,0.95966,15.79368,12.228216,0.267325,0.396896,0.373052,0.347621,0
215,64,-0.187945,0.869253,59.462817,1.129286,20.521249,12.718007,0.653736,0.858219,0.759586,0.303673,0
216,64,0.105403,0.131367,5.519759,0.856918,14.995752,6.508645,0.784376,0.565857,0.85796,0.350447,0
217,64,-0.809276,0.815831,7.340347,1.057085,26.043507,13.313315,0.4755,0.046562,0.074348,0.775678,1
218,64,0.12702,0.097708,56.08215,1.572423,28.844076,8.805542,0.752254,0.712711,0.398296,0.401081,0
219,64,-0.846125,0.285553,18.225971,4.173253,11.674698,13.447887,0.33173,0.755609,0.139951,0.620389,1
220,64,0.001586,1.462769,7.953304,2.185441,25.16024,5.108891,0.769006,0.954858,0.396703,0.473798,0
221,64,0.54711,0.092957,20.032987,4.962929,14.718104,5.337168,0.941143,0.431848,0.679695,0.553399,1
222,64,0.237232,1.20718,44.220969,0.41019,4.626629,10.675157,0.633901,0.739655,0.316678,0.431098,0
223,64,-0.786898,0.057533,21.95471,1.799587,8.092993,1.987605,0.187392,0.448844,0.55474,0.445361,0
224,64,-0.292171,0.184943,37.892409,1.622152,11.557138,4.37771,0.3878,0.0847,0.901136,0.434152,0
225,64,0.810415,1.468351,36.457824,0.847915,11.421961,2.082601,0.301131,0.493124,0.063267,0.59725,1
226,64,-0.031537,0.161536,18.843486,1.23295,18.751011,8.907096,0.195548,0.106972,0.304658,0.590034,1
227,64,0.897647,0.531715,39.11057,4.020382,9.886251,5.021043,0.815475,0.859508,0.974225,0.359396,0
228,64,0.894558,0.341235,22.28008,4.822873,29.061757,4.371722,0.694958,0.491007,0.575879,0.605288,1
229,64,-0.515151,0.59528,49.907198,1.964676,3.416635,8.457758,0.592227,0.545629,0.681713,0.289043,0
230,64,-0.076756,1.077132,29.115022,1.456656,20.785058,12.284484,0.795657,0.409142,0.499303,0.461949,0
231,64,0.266672,0.400931,41.226463,3.576182,23.672303,1.109477,0.990701,0.479235,0.400805,0.539843,0
232,64,0.383418,0.838286,48.48965,1.797647,26.865045,8.05359,0.63818,0.084982,0.768954,0.496948,0
233,64,0.315203,0.564763,40.584992,0.221483,29.508246,10.162078,0.399618,0.752683,0.965717,0.164916,0
234,64,-0.482523,0.790481,33.533877,2.902591,17.257062,6.686678,0.391134,0.772342,0.58859,0.411952,0
235,64,0.000932,0.550203,6.350946,0.522747,12.479263,14.425918,0.116069,0.940676,0.141675,0.343804,0
236,64,-0.586265,0.750243,31.188939,2.19083,20.902898,4.783642,0.300264,0.810186,0.115085,0.597044,1
237,64,0.69836,0.989556,42.242663,0.82177,29.517014,3.658694,0.174453,0.160136,0.559849,0.549798,0
238,64,-0.189905,0.317455,40.226338,2.160672,0.875768,9.211604,0.197324,0.592203,0.388836,0.44021,0
239,64,0.409471,0.348387,46.377902,4.043649,1.876913,1.526281,0.871979,0.18696,0.325985,0.711484,1
240,64,0.725273,0.815187,40.150972,2.984854,18.339253,8.805071,0.347925,0.845518,0.617363,0.375635,0
241,64,0.627477,1.073683,21.359466,3.072423,2.542559,2.009217,0.117862,0.30538,0.183045,0.665137,1
242,64,-0.163522,0.249908,26.104048,0.928768,19.065049,10.401494,0.64526,0.9999,0.554913,0.231126,0
243,64,-0.020716,0.25343,22.301901,2.255005,1.608338,5.385588,0.009583,0.136535,0.815216,0.4795,0
244,64,-0.01006,1.04281,27.859674,4.199459,14.660985,1.240059,0.030861,0.761057,0.29209,0.549699,0
