id,raw_trust_score,ground_truth,calibrated_score,prediction_set
457,0.8045,1,0.7382,Verified
458,0.4742,1,0.4651,Review
459,0.5136,0,0.4799,Review
460,0.4203,0,0.3975,Review
461,0.3744,1,0.3822,Review
462,0.392,1,0.404,Review
463,0.3682,0,0.3819,Review
464,0.3581,0,0.3313,Review
465,0.7475,0,0.7389,Rejected
466,0.7854,0,0.781,Rejected
467,0.8283,0,0.7807,Review
468,0.7305,0,0.6859,Review
469,0.423,1,0.4165,Verified
470,0.5543,1,0.517,Rejected
471,0.0316,1,0.0322,Rejected
472,0.4235,0,0.4134,Verified
473,0.8859,0,0.9066,Review
474,0.6035,0,0.5447,Rejected
475,0.026,1,0.0266,Rejected
476,0.9284,0,0.8572,Verified
477,0.3751,1,0.351,Verified
478,0.5194,1,0.4868,Verified
479,0.5861,0,0.563,Rejected
480,0.9976,1,1.0,Verified
481,0.3184,0,0.3094,Review
482,0.9729,1,0.9114,Review
483,0.8262,1,0.8638,Review
484,0.9925,1,0.9783,Verified
485,0.3136,1,0.3254,Verified
486,0.3245,1,0.3304,Rejected
487,0.5989,1,0.5528,Rejected
488,0.237,1,0.2435,Review
489,0.3226,1,0.3334,Rejected
490,0.1424,0,0.1288,Review
491,0.0971,1,0.0949,Rejected
492,0.2098,1,0.1949,Verified
493,0.3316,0,0.3168,Review
494,0.7271,0,0.6718,Review
495,0.5698,1,0.5142,Rejected
496,0.1007,1,0.0925,Review
497,0.4868,0,0.4489,Review
498,0.4768,1,0.489,Rejected
499,0.5163,1,0.515,Verified
500,0.964,1,0.9569,Verified
501,0.284,1,0.2732,Verified
502,0.3759,0,0.3599,Verified
503,0.1936,0,0.1966,Review
504,0.0457,0,0.0465,Verified
505,0.3144,1,0.2977,Rejected
506,0.7648,0,0.7787,Rejected
507,0.9601,1,0.9437,Rejected
508,0.1922,0,0.1828,Rejected
509,0.0579,1,0.0539,Rejected
510,0.1957,1,0.1996,Review
511,0.2371,1,0.233,Rejected
512,0.9706,0,0.9086,Rejected
513,0.6038,1,0.6284,Review
514,0.6514,0,0.6502,Rejected
515,0.1347,1,0.1408,Rejected
516,0.1789,1,0.1869,Rejected
517,0.0698,0,0.0726,Review
518,0.2429,1,0.2234,Verified
519,0.798,0,0.792,Rejected
520,0.6081,1,0.6257,Rejected
521,0.2605,1,0.2606,Rejected
522,0.0264,0,0.0272,Review
523,0.6728,0,0.6098,Verified
524,0.7318,1,0.7255,Rejected
525,0.5588,0,0.5205,Rejected
526,0.8284,1,0.8411,Review
527,0.3806,1,0.367,Verified
528,0.8326,1,0.771,Verified
529,0.6324,1,0.5978,Rejected
530,0.8535,1,0.8735,Verified
531,0.6481,0,0.5917,Rejected
532,0.9712,0,0.9723,Review
533,0.4455,1,0.4662,Rejected
534,0.9849,1,0.939,Verified
535,0.7147,1,0.7492,Verified
536,0.5476,0,0.5187,Review
537,0.9918,0,1.0,Verified
538,0.4078,0,0.3789,Review
539,0.8872,1,0.853,Rejected
540,0.6492,0,0.6435,Rejected
541,0.2089,1,0.2129,Rejected
542,0.2801,0,0.2617,Verified
543,0.0509,0,0.0505,Verified
544,0.1795,1,0.1873,Rejected
545,0.0552,1,0.053,Verified
546,0.126,1,0.1255,Rejected
547,0.2339,0,0.2122,Review
548,0.4805,0,0.4719,Rejected
549,0.6724,1,0.7001,Review
550,0.7542,0,0.6935,Verified
551,0.627,1,0.6144,Rejected
552,0.6965,0,0.647,Rejected
553,0.7451,0,0.7463,Review
554,0.3216,1,0.3114,Review
555,0.3074,0,0.3056,Review
556,0.5353,0,0.5117,Verified
557,0.7102,1,0.6568,Review
558,0.5532,1,0.5676,Rejected
559,0.4205,0,0.3863,Verified
560,0.8084,1,0.7619,Verified
561,0.8752,1,0.8279,Rejected
562,0.6199,0,0.5598,Review
563,0.8457,1,0.8113,Review
564,0.9433,0,0.9479,Review
565,0.3161,0,0.2954,Verified
566,0.0632,0,0.0652,Verified
567,0.3338,0,0.3396,Review
568,0.7639,1,0.7526,Verified
569,0.5642,1,0.5152,Review
570,0.5609,1,0.5686,Rejected
571,0.5467,1,0.5152,Rejected
572,0.391,0,0.3604,Rejected
573,0.4914,0,0.4632,Rejected
574,0.4298,0,0.4072,Rejected
575,0.151,1,0.1394,Rejected
576,0.3455,0,0.3345,Verified
577,0.0134,1,0.0128,Review
578,0.1089,0,0.1068,Verified
579,0.3664,0,0.3503,Verified
580,0.293,0,0.3045,Verified
581,0.9875,1,0.9916,Verified
582,0.6764,1,0.6299,Rejected
583,0.4852,1,0.4851,Rejected
584,0.7939,1,0.8197,Review
585,0.4734,1,0.4429,Rejected
586,0.0206,0,0.0187,Verified
587,0.3755,0,0.3883,Rejected
588,0.8396,1,0.8441,Verified
589,0.6871,0,0.6995,Review
590,0.7102,0,0.6526,Review
591,0.4216,0,0.434,Review
592,0.1714,1,0.1756,Review
593,0.1925,1,0.1815,Review
594,0.3975,0,0.407,Review
595,0.8242,0,0.764,Review
596,0.4775,0,0.4675,Review
597,0.8798,0,0.825,Verified
598,0.8843,0,0.8216,Review
599,0.9391,0,0.9168,Verified
600,0.0199,0,0.0182,Rejected
601,0.9354,1,0.9201,Rejected
602,0.6601,1,0.6024,Review
603,0.1911,0,0.178,Verified
604,0.6692,0,0.6769,Rejected
605,0.2242,1,0.221,Rejected
606,0.2263,0,0.2073,Rejected
607,0.7464,1,0.7522,Review
608,0.9555,1,0.9633,Verified
609,0.107,0,0.1112,Verified
610,0.6771,0,0.6587,Verified
611,0.0298,0,0.0274,Verified
612,0.6716,1,0.6488,Rejected
613,0.6595,1,0.6364,Review
614,0.0359,1,0.0339,Rejected
615,0.8538,0,0.8885,Verified
616,0.896,0,0.808,Review
617,0.6022,1,0.627,Review
618,0.7167,0,0.6714,Rejected
619,0.1789,0,0.1767,Rejected
620,0.788,0,0.793,Verified
621,0.5218,0,0.4737,Verified
622,0.1721,0,0.1653,Verified
623,0.7255,1,0.6958,Verified
624,0.5138,1,0.5221,Rejected
625,0.6465,0,0.6053,Rejected
626,0.0933,1,0.0952,Review
627,0.3535,1,0.343,Verified
628,0.788,0,0.7386,Rejected
629,0.3269,1,0.3288,Verified
630,0.6719,1,0.6164,Review
631,0.9319,0,0.9192,Rejected
632,0.8671,0,0.861,Review
633,0.1578,0,0.1598,Rejected
634,0.7332,1,0.7497,Verified
635,0.3417,1,0.3473,Review
636,0.1977,1,0.1996,Review
637,0.4359,1,0.417,Verified
638,0.7648,1,0.701,Rejected
639,0.9622,0,0.9535,Review
640,0.3575,1,0.3531,Verified
641,0.562,0,0.5578,Verified
642,0.4298,0,0.4183,Rejected
643,0.7431,0,0.7026,Rejected
644,0.4584,1,0.4578,Review
645,0.1903,1,0.197,Review
646,0.6048,0,0.5738,Review
647,0.7523,1,0.7202,Review
648,0.3809,0,0.3862,Review
649,0.0831,1,0.0776,Review
650,0.2549,0,0.2535,Review
651,0.4302,1,0.4446,Review
652,0.7168,0,0.7114,Verified
653,0.5816,0,0.5903,Review
654,0.198,0,0.1806,Verified
655,0.8784,0,0.8028,Verified
656,0.7919,0,0.7549,Verified
657,0.1165,0,0.1159,Verified
658,0.3253,1,0.3306,Review
659,0.6519,1,0.6132,Review
660,0.152,0,0.1431,Review
661,0.2807,0,0.2847,Review
662,0.5192,0,0.4929,Rejected
663,0.6307,1,0.6039,Verified
664,0.9115,1,0.9077,Rejected
665,0.8545,0,0.8454,Rejected
666,0.8397,1,0.7746,Review
667,0.9904,1,0.9051,Review
668,0.1257,1,0.1287,Review
669,0.1444,0,0.1503,Review
670,0.648,0,0.6618,Review
671,0.9776,0,0.9082,Verified
672,0.395,0,0.4089,Verified
673,0.554,1,0.5073,Review
674,0.1223,0,0.1134,Rejected
675,0.6965,0,0.7116,Rejected
676,0.7784,1,0.764,Rejected
677,0.1526,1,0.139,Rejected
678,0.0875,0,0.0844,Rejected
679,0.5954,0,0.5848,Review
680,0.643,0,0.5885,Review
681,0.723,1,0.7022,Verified
682,0.612,0,0.5646,Review
683,0.1962,1,0.1844,Verified
684,0.614,1,0.6073,Rejected
685,0.457,0,0.4731,Review
686,0.1942,0,0.1948,Verified
687,0.1734,0,0.159,Verified
688,0.4688,0,0.4242,Rejected
689,0.8862,0,0.8979,Review
690,0.7633,0,0.6995,Rejected
691,0.8677,0,0.7867,Verified
692,0.874,1,0.8137,Verified
693,0.8032,1,0.8024,Rejected
694,0.9317,1,0.8553,Verified
695,0.7178,0,0.6653,Verified
696,0.131,0,0.1293,Review
697,0.2957,0,0.2696,Verified
698,0.4614,0,0.4466,Rejected
699,0.4886,1,0.4748,Review
700,0.1827,1,0.1704,Review
701,0.3606,1,0.373,Verified
702,0.7013,1,0.6727,Verified
703,0.7809,1,0.8051,Review
704,0.9083,1,0.8368,Verified
705,0.0662,1,0.0655,Rejected
706,0.7102,1,0.6498,Review
707,0.7463,1,0.7733,Verified
708,0.3297,1,0.3429,Verified
709,0.316,0,0.288,Review
710,0.6761,0,0.6664,Review
711,0.3963,1,0.3857,Rejected
712,0.2564,1,0.2619,Review
713,0.7484,1,0.7362,Rejected
714,0.6312,0,0.6416,Verified
715,0.3038,0,0.3007,Verified
716,0.4602,0,0.4467,Rejected
717,0.6984,1,0.6293,Verified
718,0.5248,0,0.4817,Verified
719,0.303,1,0.2818,Verified
720,0.585,0,0.5633,Verified
721,0.1534,1,0.1496,Verified
722,0.5272,1,0.4814,Review
723,0.7664,0,0.6954,Verified
724,0.6048,1,0.5445,Rejected
725,0.6737,1,0.6448,Verified
726,0.5375,1,0.4841,Review
727,0.936,0,0.9385,Verified
728,0.8739,1,0.8177,Verified
729,0.8924,1,0.8382,Review
730,0.4096,0,0.3993,Rejected
731,0.482,1,0.4957,Review
732,0.4852,0,0.4944,Rejected
733,0.4927,0,0.454,Verified
734,0.8769,0,0.794,Verified
735,0.6281,0,0.5865,Verified
736,0.798,0,0.7442,Rejected
737,0.8143,1,0.7412,Review
738,0.2352,0,0.2192,Verified
739,0.4026,1,0.3632,Verified
740,0.0889,1,0.0877,Rejected
741,0.0336,0,0.0329,Rejected
742,0.965,0,0.9151,Rejected
743,0.7624,1,0.781,Review
744,0.1071,1,0.0969,Rejected
745,0.7545,0,0.6973,Review
746,0.3295,0,0.343,Rejected
747,0.1804,0,0.165,Review
748,0.9607,1,0.8822,Verified
749,0.1938,1,0.1986,Review
750,0.0154,1,0.0146,Rejected
751,0.5484,0,0.5502,Rejected
752,0.5234,0,0.5066,Review
753,0.0093,0,0.0089,Rejected
754,0.6739,1,0.6309,Verified
755,0.3219,1,0.292,Verified
756,0.4373,1,0.4213,Verified
757,0.412,1,0.4122,Review
758,0.1532,1,0.158,Review
759,0.9215,1,0.949,Review
760,0.4603,1,0.4338,Rejected
761,0.0219,0,0.0214,Review
762,0.0461,0,0.0473,Rejected
763,0.7323,0,0.6626,Verified
764,0.7252,1,0.6578,Review
765,0.5723,0,0.5241,Review
766,0.4868,0,0.4666,Rejected
767,0.6395,0,0.6512,Rejected
768,0.2074,0,0.1973,Rejected
769,0.2635,1,0.2596,Verified
770,0.991,1,1.0,Rejected
771,0.542,0,0.5084,Verified
772,0.4024,1,0.4047,Rejected
773,0.539,1,0.4913,Verified
774,0.3415,0,0.3493,Review
775,0.9198,0,0.9648,Rejected
776,0.504,0,0.4936,Review
777,0.2055,1,0.1984,Review
778,0.6903,0,0.691,Verified
779,0.8599,0,0.8271,Review
780,0.4957,0,0.4974,Verified
781,0.1655,1,0.1502,Review
782,0.2447,0,0.2249,Verified
783,0.3418,0,0.3391,Verified
784,0.7784,1,0.7128,Review
