sample_id,sep_score,semantic_entropy,kernel_language_entropy,nli_agreement,retrieval_confidence,symbolic_verification,temporal_validation,cross_model_agreement,critic_score,calibration_factor,fusion_trust_score,risk_level,verified
52,0.975301,0.50648,0.712815,0.763538,0.488111,0.525683,0.231729,0.627136,0.525216,0.86705,0.538914,High,0
53,0.937777,0.631629,0.416258,0.902638,0.763429,0.970086,0.337843,0.480888,0.235278,0.945759,0.67502,Medium,0
54,0.711176,0.143712,0.933294,0.140303,0.807237,0.167241,0.685892,0.744352,0.178828,0.911633,0.423033,High,0
55,0.249025,0.952813,0.182647,0.982957,0.500133,0.005241,0.155767,0.350182,0.6767,0.927692,0.423478,High,0
56,0.848656,0.472381,0.31858,0.637869,0.86479,0.697214,0.980299,0.443411,0.014468,0.807601,0.568535,High,0
57,0.97182,0.365138,0.778312,0.970625,0.548246,0.673365,0.56208,0.72949,0.822177,0.939038,0.670686,Medium,0
58,0.126671,0.448785,0.815694,0.836465,0.428567,0.837927,0.348189,0.649027,0.125034,0.990897,0.452508,High,0
59,0.356461,0.31076,0.071493,0.205827,0.046908,0.558406,0.976774,0.010053,0.486068,0.884087,0.377571,High,0
60,0.188436,0.34909,0.32909,0.4147,0.488302,0.395919,0.359075,0.938231,0.102512,0.851432,0.374915,High,0
61,0.692416,0.368189,0.190021,0.865533,0.422251,0.645307,0.921457,0.929093,0.436771,0.889475,0.629134,Medium,0
62,0.936181,0.946692,0.392579,0.833207,0.73159,0.36778,0.063108,0.605691,0.121093,0.888879,0.505224,High,0
63,0.500087,0.03297,0.204619,0.287003,0.702928,0.151707,0.604969,0.360699,0.534393,0.973134,0.500519,High,0
64,0.20799,0.240723,0.475866,0.221637,0.312155,0.776561,0.196886,0.482308,0.330819,0.925289,0.337198,High,0
65,0.463242,0.910019,0.436358,0.913504,0.079325,0.393653,0.465988,0.098544,0.871545,0.968864,0.403931,High,0
66,0.530392,0.233148,0.057362,0.696163,0.789944,0.444146,0.609514,0.607398,0.777076,0.834994,0.59629,High,0
67,0.520272,0.908041,0.417243,0.736496,0.082897,0.385579,0.063177,0.46579,0.632673,0.826974,0.35757,High,0
68,0.128356,0.964656,0.798381,0.415953,0.160309,0.268227,0.232007,0.816486,0.296703,0.917616,0.264475,High,0
69,0.049186,0.867283,0.92946,0.767891,0.611113,0.025749,0.158462,0.333038,0.66581,0.832255,0.292522,High,0
70,0.34743,0.08357,0.912788,0.435128,0.094504,0.556262,0.050725,0.657071,0.654464,0.88289,0.373334,High,0
71,0.155773,0.671902,0.170827,0.764834,0.581901,0.737901,0.957083,0.615484,0.310913,0.886375,0.438313,High,0
72,0.14371,0.228827,0.744007,0.79061,0.50577,0.989354,0.587545,0.943703,0.197342,0.905887,0.46741,High,0
73,0.232393,0.896159,0.118702,0.30265,0.177217,0.016311,0.719012,0.627046,0.668463,0.84626,0.28082,High,0
74,0.62041,0.919603,0.995133,0.077996,0.268252,0.561663,0.266014,0.965364,0.617332,0.996368,0.313142,High,0
75,0.008851,0.711762,0.090527,0.512937,0.977121,0.071004,0.464915,0.504756,0.436064,0.862025,0.392138,High,0
76,0.141424,0.334142,0.441053,0.74846,0.467769,0.302403,0.696572,0.47983,0.350785,0.970228,0.434649,High,0
77,0.230785,0.358413,0.925724,0.254496,0.574164,0.092268,0.009192,0.713676,0.374187,0.890042,0.28828,High,0
78,0.179438,0.675205,0.206987,0.453117,0.143641,0.778036,0.548403,0.736813,0.42831,0.87552,0.381743,High,0
79,0.258375,0.573038,0.835907,0.972264,0.395499,0.702457,0.687276,0.00566,0.921088,0.996751,0.510662,High,0
80,0.154766,0.599069,0.444807,0.713258,0.320322,0.711269,0.652591,0.336773,0.982432,0.810831,0.428085,High,0
81,0.022853,0.133276,0.270865,0.491531,0.669724,0.653329,0.159192,0.53069,0.173078,0.855302,0.390836,High,0
82,0.381675,0.419381,0.973671,0.694003,0.325052,0.135123,0.232188,0.768987,0.999648,0.860435,0.407572,High,0
83,0.09228,0.366437,0.964474,0.277768,0.765672,0.543461,0.48134,0.04028,0.23917,0.892861,0.305895,High,0
84,0.494324,0.909512,0.621173,0.621827,0.785226,0.976799,0.131263,0.193023,0.019873,0.991888,0.462511,High,0
85,0.072403,0.537862,0.480281,0.626575,0.291061,0.93248,0.32429,0.392282,0.627784,0.839762,0.334307,High,0
86,0.034911,0.677636,0.881707,0.626318,0.299313,0.860825,0.286936,0.538867,0.391089,0.825277,0.264717,High,0
87,0.152629,0.949795,0.633871,0.957048,0.106356,0.438024,0.056174,0.75137,0.369943,0.951573,0.308429,High,0
88,0.390736,0.725704,0.749349,0.655729,0.171282,0.195912,0.768362,0.859418,0.30314,0.882389,0.344328,High,0
89,0.442807,0.625694,0.202677,0.330574,0.922545,0.583514,0.76592,0.254447,0.626115,0.873821,0.463808,High,0
90,0.497068,0.064926,0.132875,0.639757,0.740376,0.666599,0.393377,0.493018,0.210949,0.865708,0.550735,High,0
91,0.209516,0.22828,0.872531,0.126968,0.247525,0.1368,0.582268,0.382485,0.748669,0.984254,0.39674,High,0
92,0.592558,0.705954,0.898588,0.955922,0.668135,0.246871,0.862855,0.341312,0.203773,0.878329,0.490901,High,0
93,0.562361,0.909208,0.537565,0.310974,0.77453,0.97881,0.693041,0.839679,0.423407,0.865458,0.424152,High,0
94,0.583077,0.037408,0.758892,0.639187,0.777329,0.983093,0.715367,0.018442,0.01843,0.986874,0.640499,Medium,0
95,0.057021,0.062685,0.715808,0.09541,0.335811,0.190389,0.25551,0.189729,0.246301,0.804603,0.249284,High,0
96,0.329581,0.137898,0.164778,0.9536,0.741885,0.580889,0.670285,0.237866,0.422826,0.892276,0.601686,Medium,0
97,0.660111,0.35102,0.870087,0.875676,0.142672,0.451109,0.533392,0.820974,0.139898,0.844593,0.470613,High,0
98,0.265763,0.624046,0.094974,0.234987,0.681366,0.372659,0.362818,0.878568,0.239061,0.983392,0.491066,High,0
99,0.01411,0.063462,0.738412,0.279634,0.772101,0.691718,0.651518,0.516436,0.245233,0.970205,0.494278,High,0
100,0.209346,0.436865,0.038717,0.782367,0.055146,0.107957,0.900228,0.39075,0.523358,0.939879,0.421222,High,0
101,0.717349,0.01049,0.549411,0.663431,0.961984,0.727685,0.152659,0.953568,0.857162,0.91341,0.652703,Medium,0
102,0.6961,0.855024,0.062969,0.938497,0.446884,0.865316,0.274483,0.501383,0.261836,0.933145,0.536293,High,0
103,0.800848,0.463134,0.122822,0.464589,0.137876,0.990321,0.621435,0.537102,0.594831,0.861872,0.508954,High,0
104,0.883987,0.632708,0.86977,0.575228,0.288845,0.19845,0.224227,0.647992,0.314601,0.818712,0.319343,High,0
105,0.875343,0.248075,0.395124,0.699361,0.309476,0.536418,0.913286,0.705074,0.281096,0.975553,0.593601,High,0
106,0.725454,0.107533,0.682986,0.138798,0.886054,0.138763,0.671129,0.461075,0.957062,0.972196,0.531024,High,0
107,0.274165,0.801825,0.08514,0.612286,0.838596,0.932685,0.337868,0.315875,0.686589,0.859131,0.474934,High,0
108,0.566904,0.053993,0.524441,0.370953,0.772286,0.630967,0.261931,0.844383,0.293954,0.934024,0.629869,Medium,0
109,0.215319,0.071283,0.217884,0.67911,0.51224,0.684502,0.131432,0.184495,0.080923,0.871298,0.458536,High,0
110,0.814332,0.752253,0.007788,0.503759,0.007707,0.716186,0.438058,0.171039,0.296184,0.859883,0.479153,High,0
111,0.954456,0.055893,0.894591,0.978452,0.883784,0.225627,0.855179,0.364278,0.842125,0.828483,0.678782,Medium,0
112,0.74559,0.830333,0.574368,0.193405,0.459721,0.168341,0.812931,0.147766,0.145264,0.992525,0.37115,High,0
113,0.553582,0.547865,0.534201,0.5182,0.05921,0.089995,0.464881,0.479137,0.820558,0.993692,0.440202,High,0
114,0.181863,0.421671,0.486758,0.024772,0.693158,0.988916,0.25776,0.891873,0.383704,0.926279,0.377039,High,0
115,0.743445,0.576343,0.53585,0.173329,0.903454,0.78604,0.499538,0.40243,0.139232,0.921984,0.494441,High,0
116,0.459902,0.282787,0.141867,0.112106,0.22573,0.584761,0.701879,0.88012,0.889814,0.87422,0.396567,High,0
117,0.722127,0.203194,0.499941,0.963499,0.408622,0.764742,0.755369,0.82118,0.597544,0.950644,0.70871,Medium,1
118,0.206594,0.381517,0.567854,0.602929,0.345831,0.653776,0.197655,0.219443,0.778914,0.928304,0.407349,High,0
119,0.809101,0.530919,0.743367,0.17343,0.41239,0.75441,0.747179,0.187119,0.103049,0.862401,0.384257,High,0
120,0.014222,0.666827,0.40688,0.819788,0.649917,0.853589,0.568431,0.956286,0.987847,0.991628,0.605313,Medium,0
121,0.38789,0.9644,0.776295,0.942471,0.917145,0.67195,0.363032,0.901214,0.053777,0.97038,0.542142,High,0
122,0.173694,0.651926,0.932825,0.221735,0.662979,0.589156,0.265864,0.162224,0.53601,0.904165,0.294252,High,0
123,0.997717,0.549117,0.30124,0.284154,0.029757,0.064083,0.059869,0.729138,0.943185,0.981389,0.459604,High,0
124,0.965495,0.995496,0.508083,0.61125,0.518427,0.127359,0.265212,0.335871,0.415424,0.924845,0.439408,High,0
125,0.558304,0.894391,0.214973,0.577747,0.975907,0.2459,0.168976,0.270344,0.617819,0.810473,0.403944,High,0
126,0.031519,0.480885,0.894863,0.365629,0.355941,0.3233,0.549954,0.364108,0.598378,0.946689,0.33325,High,0
127,0.115858,0.673,0.904482,0.178242,0.977066,0.254388,0.512314,0.334833,0.666757,0.932353,0.288929,High,0
128,0.750015,0.56129,0.571645,0.872631,0.323508,0.493109,0.613704,0.86287,0.424387,0.871122,0.52548,High,0
129,0.493947,0.854039,0.586328,0.644624,0.89716,0.554491,0.532299,0.2913,0.916784,0.898729,0.484297,High,0
130,0.177502,0.493829,0.144444,0.673686,0.361243,0.068371,0.794375,0.854218,0.356236,0.887464,0.444456,High,0
131,0.964339,0.666096,0.431641,0.706294,0.957056,0.174106,0.910009,0.238889,0.991044,0.904605,0.632415,Medium,0
132,0.004218,0.951822,0.988823,0.778431,0.245646,0.036151,0.728614,0.901367,0.47818,0.87623,0.308028,High,0
133,0.184111,0.047657,0.429114,0.236782,0.518593,0.813028,0.611088,0.064851,0.634208,0.907186,0.481495,High,0
134,0.088616,0.154323,0.882051,0.708941,0.819772,0.409985,0.054328,0.228396,0.629303,0.803582,0.386878,High,0
135,0.389311,0.840495,0.189361,0.517383,0.862635,0.082135,0.295997,0.054561,0.46839,0.907854,0.379474,High,0
136,0.092169,0.420821,0.744049,0.234501,0.598903,0.423998,0.501787,0.380459,0.352235,0.87079,0.316836,High,0
137,0.640565,0.753772,0.825746,0.381759,0.082741,0.51903,0.537782,0.317029,0.490266,0.913118,0.359921,High,0
138,0.030558,0.415446,0.738466,0.375743,0.450633,0.282438,0.765345,0.371587,0.81633,0.896774,0.355734,High,0
139,0.225657,0.469305,0.659632,0.080653,0.314925,0.202514,0.075991,0.21183,0.552046,0.914987,0.280864,High,0
140,0.871881,0.724112,0.477549,0.184486,0.926362,0.062012,0.452988,0.30774,0.397906,0.827207,0.373898,High,0
141,0.184164,0.279895,0.927619,0.658701,0.10411,0.894995,0.910161,0.070927,0.969576,0.866155,0.4333,High,0
142,0.378921,0.981685,0.30905,0.212575,0.085744,0.846338,0.140333,0.778327,0.271948,0.965376,0.301053,High,0
143,0.996877,0.048652,0.122601,0.620398,0.80825,0.052906,0.771105,0.128581,0.651318,0.929864,0.718383,Medium,1
144,0.427909,0.289864,0.01167,0.684188,0.194099,0.34275,0.920496,0.271837,0.373112,0.915634,0.520628,High,0
145,0.421038,0.465886,0.518137,0.017753,0.423416,0.049772,0.668718,0.253151,0.159469,0.868511,0.296337,High,0
146,0.617087,0.309264,0.981472,0.41341,0.528237,0.816409,0.55589,0.842599,0.516133,0.871437,0.479569,High,0
147,0.863345,0.751462,0.718925,0.241644,0.741452,0.961936,0.675974,0.174795,0.81183,0.808767,0.432966,High,0
148,0.125203,0.223411,0.45483,0.094949,0.921742,0.23231,0.887479,0.040801,0.602163,0.903353,0.391646,High,0
149,0.129908,0.671835,0.394036,0.591841,0.612527,0.496433,0.842803,0.894246,0.475392,0.873972,0.437672,High,0
150,0.695653,0.661914,0.754887,0.829011,0.366635,0.612253,0.059432,0.017698,0.880826,0.982061,0.473988,High,0
151,0.562874,0.919786,0.482024,0.034883,0.477182,0.599104,0.531899,0.686638,0.732159,0.863209,0.34855,High,0
152,0.36724,0.126201,0.409619,0.020792,0.174239,0.86811,0.009253,0.745252,0.456005,0.902573,0.397985,High,0
153,0.924449,0.164813,0.631795,0.393283,0.884999,0.366078,0.615118,0.859346,0.533657,0.87251,0.55878,High,0
154,0.294076,0.52754,0.324208,0.31894,0.274766,0.759763,0.381284,0.196798,0.563485,0.918932,0.416074,High,0
155,0.029488,0.983358,0.932595,0.821146,0.813793,0.778014,0.794279,0.709143,0.997908,0.996074,0.471049,High,0
156,0.103146,0.616969,0.866597,0.763473,0.27968,0.358308,0.475311,0.983868,0.551343,0.992905,0.457452,High,0
157,0.144786,0.409028,0.055884,0.039364,0.895854,0.416019,0.086331,0.623306,0.968077,0.832519,0.402186,High,0
158,0.253124,0.083107,0.357569,0.017466,0.002512,0.621118,0.489766,0.110803,0.446442,0.843042,0.311344,High,0
159,0.32442,0.240082,0.070138,0.933931,0.5953,0.434197,0.972839,0.22903,0.665425,0.820307,0.518776,High,0
160,0.601492,0.973756,0.283876,0.317878,0.133501,0.698833,0.941663,0.144528,0.056379,0.880344,0.337675,High,0
161,0.489684,0.643912,0.746131,0.247021,0.471191,0.073636,0.190311,0.568079,0.347261,0.814114,0.293905,High,0
162,0.486058,0.580751,0.883647,0.494085,0.220438,0.841612,0.773163,0.363333,0.478161,0.947485,0.464557,High,0
163,0.480562,0.219561,0.711499,0.6416,0.468601,0.495906,0.891829,0.45873,0.607403,0.857539,0.494069,High,0
164,0.333528,0.070556,0.592305,0.037033,0.023809,0.690469,0.308915,0.202417,0.844025,0.829264,0.282775,High,0
165,0.919163,0.054284,0.779412,0.752709,0.733592,0.632772,0.460729,0.870534,0.818106,0.985002,0.709622,Medium,1
166,0.075584,0.89968,0.034745,0.338016,0.17062,0.005297,0.856767,0.11715,0.313726,0.858702,0.251877,High,0
167,0.990077,0.093162,0.215147,0.602874,0.759404,0.395681,0.612636,0.99007,0.19909,0.816427,0.616318,Medium,0
168,0.22708,0.075069,0.635871,0.041786,0.375396,0.778079,0.828028,0.879655,0.434887,0.874378,0.412884,High,0
169,0.594129,0.585858,0.77136,0.184809,0.760043,0.386314,0.314346,0.33365,0.391353,0.87445,0.382896,High,0
170,0.258526,0.788101,0.509647,0.161993,0.117003,0.387746,0.045183,0.534004,0.168039,0.868135,0.199626,High,0
171,0.227732,0.340102,0.496679,0.225389,0.773845,0.870954,0.33715,0.805997,0.751485,0.956781,0.487938,High,0
172,0.120892,0.573345,0.226373,0.595574,0.049246,0.75977,0.935158,0.22993,0.421766,0.945608,0.459583,High,0
173,0.695748,0.012485,0.805466,0.538079,0.719535,0.327196,0.139275,0.722942,0.544596,0.809952,0.470148,High,0
174,0.703623,0.412487,0.630931,0.374977,0.496958,0.577707,0.277472,0.614161,0.143986,0.850856,0.43484,High,0
175,0.110297,0.482916,0.975867,0.530504,0.734878,0.313645,0.645483,0.563193,0.227908,0.979746,0.346834,High,0
176,0.013703,0.645754,0.952609,0.971503,0.680512,0.217651,0.581543,0.453511,0.029165,0.888448,0.369928,High,0
177,0.657812,0.131362,0.694543,0.978664,0.54699,0.324335,0.7112,0.246007,0.996594,0.936051,0.667718,Medium,0
178,0.270685,0.935188,0.916641,0.827499,0.321002,0.954253,0.060792,0.472888,0.253219,0.802769,0.355129,High,0
179,0.063169,0.086392,0.175492,0.664246,0.73639,0.833546,0.400329,0.609967,0.930557,0.872406,0.533261,High,0
180,0.792515,0.808773,0.653986,0.139141,0.829904,0.866773,0.792918,0.862405,0.828199,0.82614,0.493365,High,0
181,0.837444,0.354895,0.593675,0.798031,0.971303,0.770664,0.516905,0.615041,0.383495,0.953263,0.683903,Medium,0
182,0.566951,0.336072,0.990528,0.791564,0.429239,0.969484,0.489296,0.009669,0.680391,0.877955,0.473988,High,0
183,0.645197,0.225264,0.755846,0.444376,0.780621,0.18216,0.591435,0.804872,0.637471,0.932349,0.541302,High,0
184,0.982249,0.02163,0.7366,0.094342,0.707113,0.204964,0.882496,0.027534,0.632449,0.955786,0.518513,High,0
185,0.525061,0.431172,0.186184,0.045759,0.134523,0.221378,0.722265,0.158005,0.514483,0.930013,0.370787,High,0
186,0.584306,0.235038,0.620928,0.811734,0.878612,0.940874,0.649328,0.050585,0.216014,0.895879,0.595915,High,0
187,0.984054,0.731045,0.60662,0.991949,0.756918,0.265504,0.16845,0.224837,0.448456,0.896165,0.535302,High,0
188,0.482023,0.370331,0.578606,0.108376,0.798168,0.252552,0.704507,0.854509,0.515345,0.971906,0.475552,High,0
189,0.007493,0.901522,0.753196,0.886928,0.244493,0.156164,0.503345,0.792201,0.41019,0.941838,0.320061,High,0
190,0.336464,0.098182,0.894691,0.319763,0.807198,0.130957,0.944079,0.794348,0.67017,0.955694,0.511627,High,0
191,0.931258,0.739169,0.429789,0.022663,0.442837,0.720531,0.544146,0.480848,0.806644,0.813389,0.37648,High,0
192,0.938193,0.123992,0.403855,0.561246,0.721427,0.068257,0.505556,0.149438,0.590788,0.89466,0.57332,High,0
193,0.563924,0.52003,0.654267,0.209842,0.223344,0.996006,0.237457,0.509794,0.29697,0.914375,0.390205,High,0
194,0.204241,0.151445,0.076793,0.447495,0.937571,0.502737,0.408822,0.615979,0.193644,0.907658,0.532989,High,0
195,0.718827,0.91664,0.06134,0.029901,0.371061,0.359042,0.728498,0.137525,0.737728,0.947374,0.399078,High,0
196,0.315291,0.941249,0.154213,0.44487,0.921561,0.942875,0.762631,0.374819,0.594055,0.802366,0.438939,High,0
197,0.517989,0.503893,0.94038,0.827705,0.378392,0.80696,0.146983,0.341492,0.840448,0.811629,0.410518,High,0
198,0.638004,0.312325,0.792391,0.547276,0.004708,0.033555,0.570032,0.956377,0.834998,0.82178,0.370717,High,0
199,0.38107,0.986135,0.08361,0.57943,0.519383,0.145918,0.911893,0.049474,0.216268,0.949456,0.352463,High,0
200,0.438495,0.673044,0.976046,0.495209,0.06304,0.140672,0.10119,0.568485,0.156117,0.935018,0.241102,High,0
201,0.270641,0.090964,0.988836,0.84385,0.876245,0.278035,0.122292,0.760151,0.890485,0.880738,0.522995,High,0
202,0.78172,0.836584,0.092953,0.304833,0.419239,0.384096,0.380998,0.597948,0.754922,0.863954,0.461139,High,0
203,0.402562,0.516052,0.835028,0.195636,0.062127,0.959745,0.319336,0.051721,0.771346,0.89548,0.288185,High,0
204,0.399098,0.524276,0.306982,0.603708,0.906454,0.75336,0.167745,0.570579,0.560234,0.970359,0.579059,High,0
205,0.032332,0.829393,0.304049,0.399284,0.311479,0.013837,0.236649,0.81577,0.500636,0.948135,0.244751,High,0
206,0.542749,0.609423,0.922093,0.269628,0.62651,0.903899,0.04609,0.626558,0.714079,0.990741,0.463315,High,0
207,0.047412,0.687329,0.031016,0.069746,0.139847,0.92977,0.879185,0.340297,0.125223,0.889396,0.314924,High,0
208,0.43777,0.304039,0.311509,0.587874,0.074329,0.003019,0.728042,0.517558,0.686769,0.933188,0.430374,High,0
209,0.107273,0.983571,0.219566,0.086189,0.400426,0.215668,0.39794,0.117904,0.321613,0.885711,0.22417,High,0
210,0.201921,0.871123,0.161752,0.606043,0.987721,0.021529,0.905303,0.69637,0.880756,0.961703,0.554709,High,0
211,0.079414,0.718229,0.962539,0.037162,0.12628,0.871981,0.669325,0.218508,0.907427,0.908495,0.1786,High,0
212,0.294692,0.663285,0.161366,0.94441,0.554806,0.361726,0.872654,0.607792,0.280912,0.807479,0.442673,High,0
213,0.537269,0.683681,0.06585,0.687905,0.580491,0.250768,0.916408,0.387289,0.702559,0.81366,0.45836,High,0
214,0.081334,0.184158,0.38148,0.183504,0.027588,0.020544,0.051797,0.119617,0.267593,0.987276,0.22535,High,0
215,0.019083,0.47393,0.820677,0.930996,0.788443,0.015259,0.660132,0.195103,0.090337,0.88503,0.397643,High,0
216,0.324456,0.237058,0.334499,0.789134,0.392993,0.700346,0.852262,0.044639,0.016164,0.945708,0.481278,High,0
217,0.567622,0.0137,0.694629,0.399057,0.410672,0.165009,0.885065,0.05648,0.114153,0.948524,0.451925,High,0
218,0.115703,0.015463,0.239744,0.401499,0.264912,0.971379,0.715319,0.948939,0.700728,0.955143,0.532468,High,0
219,0.527829,0.70076,0.421241,0.37564,0.658747,0.861531,0.60086,0.007723,0.388468,0.934022,0.44594,High,0
220,0.5816,0.696209,0.592395,0.98311,0.027202,0.044968,0.204054,0.632958,0.639587,0.974873,0.501158,High,0
221,0.323169,0.190135,0.485881,0.83485,0.09371,0.999151,0.822237,0.414778,0.99602,0.913052,0.55721,High,0
222,0.249067,0.037854,0.246648,0.928932,0.66686,0.189495,0.621169,0.411964,0.564809,0.893096,0.529757,High,0
223,0.089787,0.598765,0.38229,0.267678,0.493033,0.367145,0.49918,0.633129,0.288253,0.893027,0.320955,High,0
224,0.014671,0.881543,0.468542,0.857404,0.285101,0.460881,0.986076,0.996823,0.232649,0.81344,0.366519,High,0
225,0.751934,0.267695,0.173887,0.94595,0.409424,0.295707,0.544151,0.322735,0.73537,0.905092,0.645908,Medium,0
