claim_id,prompt,claim,sep_score,semantic_entropy,kernel_entropy,retrieval_score,nli_grounding,label
CLM-025,Synthetic prompt 25,Synthetic generated claim 25,0.13,0.268,0.312,0.899,0.819,1
CLM-026,Synthetic prompt 26,Synthetic generated claim 26,0.087,0.297,0.195,0.748,0.788,1
CLM-027,Synthetic prompt 27,Synthetic generated claim 27,0.781,0.836,0.973,0.194,0.013,0
CLM-028,Synthetic prompt 28,Synthetic generated claim 28,0.752,0.519,0.965,0.392,0.275,0
CLM-029,Synthetic prompt 29,Synthetic generated claim 29,0.385,0.01,0.085,0.716,0.765,1
CLM-030,Synthetic prompt 30,Synthetic generated claim 30,0.834,0.923,0.663,0.258,0.366,0
CLM-031,Synthetic prompt 31,Synthetic generated claim 31,0.634,0.829,0.814,0.139,0.148,0
CLM-032,Synthetic prompt 32,Synthetic generated claim 32,0.56,0.976,0.914,0.398,0.137,0
CLM-033,Synthetic prompt 33,Synthetic generated claim 33,0.138,0.065,0.208,0.883,0.971,1
CLM-034,Synthetic prompt 34,Synthetic generated claim 34,0.264,0.097,0.016,0.945,0.787,1
CLM-035,Synthetic prompt 35,Synthetic generated claim 35,0.105,0.016,0.152,0.872,0.754,1
CLM-036,Synthetic prompt 36,Synthetic generated claim 36,0.269,0.056,0.286,0.728,0.947,1
CLM-037,Synthetic prompt 37,Synthetic generated claim 37,0.66,0.999,0.947,0.263,0.211,0
CLM-038,Synthetic prompt 38,Synthetic generated claim 38,0.004,0.01,0.346,0.867,0.833,1
CLM-039,Synthetic prompt 39,Synthetic generated claim 39,0.537,0.842,0.838,0.49,0.396,0
CLM-040,Synthetic prompt 40,Synthetic generated claim 40,0.255,0.245,0.131,0.85,0.9,1
CLM-041,Synthetic prompt 41,Synthetic generated claim 41,0.477,0.717,0.653,0.506,0.016,0
CLM-042,Synthetic prompt 42,Synthetic generated claim 42,0.18,0.174,0.082,0.809,0.864,1
CLM-043,Synthetic prompt 43,Synthetic generated claim 43,0.363,0.198,0.34,0.73,0.934,1
CLM-044,Synthetic prompt 44,Synthetic generated claim 44,0.182,0.238,0.184,0.971,0.968,1
CLM-045,Synthetic prompt 45,Synthetic generated claim 45,0.105,0.294,0.198,0.861,0.853,1
CLM-046,Synthetic prompt 46,Synthetic generated claim 46,0.242,0.209,0.123,0.885,0.967,1
CLM-047,Synthetic prompt 47,Synthetic generated claim 47,0.732,0.658,0.651,0.441,0.063,0
CLM-048,Synthetic prompt 48,Synthetic generated claim 48,0.093,0.235,0.125,0.71,0.914,1
CLM-049,Synthetic prompt 49,Synthetic generated claim 49,0.013,0.277,0.269,0.846,0.853,1
CLM-050,Synthetic prompt 50,Synthetic generated claim 50,0.238,0.201,0.098,0.899,0.885,1
CLM-051,Synthetic prompt 51,Synthetic generated claim 51,0.147,0.184,0.145,0.833,0.823,1
CLM-052,Synthetic prompt 52,Synthetic generated claim 52,0.122,0.051,0.303,0.823,0.912,1
CLM-053,Synthetic prompt 53,Synthetic generated claim 53,0.027,0.132,0.022,0.803,0.921,1
CLM-054,Synthetic prompt 54,Synthetic generated claim 54,0.287,0.276,0.134,0.972,0.924,1
CLM-055,Synthetic prompt 55,Synthetic generated claim 55,0.047,0.198,0.253,0.768,0.862,1
CLM-056,Synthetic prompt 56,Synthetic generated claim 56,0.393,0.104,0.303,0.936,0.967,1
CLM-057,Synthetic prompt 57,Synthetic generated claim 57,0.63,0.673,0.657,0.583,0.276,0
CLM-058,Synthetic prompt 58,Synthetic generated claim 58,0.152,0.29,0.272,0.876,0.759,1
CLM-059,Synthetic prompt 59,Synthetic generated claim 59,0.163,0.172,0.124,0.842,0.817,1
CLM-060,Synthetic prompt 60,Synthetic generated claim 60,0.393,0.264,0.067,0.807,0.889,1
CLM-061,Synthetic prompt 61,Synthetic generated claim 61,0.254,0.147,0.035,0.96,0.955,1
CLM-062,Synthetic prompt 62,Synthetic generated claim 62,0.638,0.794,0.82,0.196,0.061,0
CLM-063,Synthetic prompt 63,Synthetic generated claim 63,0.123,0.287,0.006,0.832,0.959,1
CLM-064,Synthetic prompt 64,Synthetic generated claim 64,0.323,0.02,0.13,0.851,0.836,1
CLM-065,Synthetic prompt 65,Synthetic generated claim 65,0.197,0.064,0.31,0.901,0.933,1
CLM-066,Synthetic prompt 66,Synthetic generated claim 66,0.954,0.517,0.644,0.42,0.348,0
CLM-067,Synthetic prompt 67,Synthetic generated claim 67,0.789,0.729,0.639,0.176,0.209,0
CLM-068,Synthetic prompt 68,Synthetic generated claim 68,0.366,0.135,0.289,0.923,0.954,1
CLM-069,Synthetic prompt 69,Synthetic generated claim 69,0.698,0.579,0.682,0.384,0.236,0
CLM-070,Synthetic prompt 70,Synthetic generated claim 70,0.563,0.537,0.799,0.553,0.453,0
CLM-071,Synthetic prompt 71,Synthetic generated claim 71,0.199,0.127,0.187,0.946,0.834,1
CLM-072,Synthetic prompt 72,Synthetic generated claim 72,0.86,0.733,0.641,0.491,0.165,0
CLM-073,Synthetic prompt 73,Synthetic generated claim 73,0.424,0.899,0.841,0.509,0.001,0
CLM-074,Synthetic prompt 74,Synthetic generated claim 74,0.479,0.889,0.796,0.404,0.339,0
CLM-075,Synthetic prompt 75,Synthetic generated claim 75,0.115,0.21,0.181,0.948,0.755,1
CLM-076,Synthetic prompt 76,Synthetic generated claim 76,0.412,0.756,0.707,0.536,0.175,0
CLM-077,Synthetic prompt 77,Synthetic generated claim 77,0.762,0.836,0.606,0.538,0.362,0
CLM-078,Synthetic prompt 78,Synthetic generated claim 78,0.296,0.267,0.167,0.976,0.984,1
CLM-079,Synthetic prompt 79,Synthetic generated claim 79,0.702,0.559,0.835,0.173,0.459,0
CLM-080,Synthetic prompt 80,Synthetic generated claim 80,0.411,0.557,0.933,0.186,0.082,0
CLM-081,Synthetic prompt 81,Synthetic generated claim 81,0.478,0.91,0.981,0.18,0.214,0
CLM-082,Synthetic prompt 82,Synthetic generated claim 82,0.219,0.275,0.078,0.771,0.876,1
CLM-083,Synthetic prompt 83,Synthetic generated claim 83,0.31,0.093,0.108,0.997,0.846,1
CLM-084,Synthetic prompt 84,Synthetic generated claim 84,0.385,0.024,0.229,0.769,0.863,1
CLM-085,Synthetic prompt 85,Synthetic generated claim 85,0.521,0.924,0.987,0.372,0.153,0
CLM-086,Synthetic prompt 86,Synthetic generated claim 86,0.29,0.15,0.215,0.984,0.883,1
CLM-087,Synthetic prompt 87,Synthetic generated claim 87,0.007,0.143,0.059,0.938,0.881,1
CLM-088,Synthetic prompt 88,Synthetic generated claim 88,0.864,0.699,0.846,0.598,0.236,0
CLM-089,Synthetic prompt 89,Synthetic generated claim 89,0.111,0.133,0.003,0.934,0.928,1
CLM-090,Synthetic prompt 90,Synthetic generated claim 90,0.951,0.901,0.909,0.35,0.383,0
CLM-091,Synthetic prompt 91,Synthetic generated claim 91,0.688,0.756,0.664,0.104,0.476,0
CLM-092,Synthetic prompt 92,Synthetic generated claim 92,0.987,0.96,0.844,0.512,0.109,0
CLM-093,Synthetic prompt 93,Synthetic generated claim 93,0.076,0.196,0.008,0.811,0.819,1
CLM-094,Synthetic prompt 94,Synthetic generated claim 94,0.918,0.904,0.913,0.119,0.254,0
CLM-095,Synthetic prompt 95,Synthetic generated claim 95,0.012,0.189,0.268,0.986,0.89,1
CLM-096,Synthetic prompt 96,Synthetic generated claim 96,0.187,0.062,0.069,0.881,0.938,1
CLM-097,Synthetic prompt 97,Synthetic generated claim 97,0.094,0.174,0.067,0.987,0.965,1
CLM-098,Synthetic prompt 98,Synthetic generated claim 98,0.046,0.116,0.082,0.946,0.767,1
CLM-099,Synthetic prompt 99,Synthetic generated claim 99,0.304,0.042,0.156,0.822,0.935,1
CLM-100,Synthetic prompt 100,Synthetic generated claim 100,0.403,0.964,0.99,0.325,0.091,0
