claim_id,hidden_state_vector,target_semantic_entropy
CLM-034,"[0.5774, 0.2402, -0.8428, -0.5153, 0.5191, 0.7655, -0.2285, -0.487]",0.587
CLM-035,"[0.6766, -0.0887, 0.4019, -0.8502, -0.9778, -0.0716, 0.1947, -0.3755]",0.107
CLM-036,"[0.9357, -0.4189, -0.9734, -0.5225, -0.6701, 0.7919, -0.817, 0.0536]",0.647
CLM-037,"[0.1462, 0.3789, -0.5177, -0.2926, -0.1004, 0.4782, -0.3377, -0.7885]",0.892
CLM-038,"[-0.6855, -0.3091, 0.3547, 0.191, 0.7919, -0.1965, -0.878, -0.6529]",0.028
CLM-039,"[-0.0439, -0.9076, 0.432, -0.537, -0.3259, 0.4396, 0.8141, 0.9124]",0.99
CLM-040,"[0.6966, 0.0203, -0.576, 0.5652, -0.0996, 0.6911, -0.199, -0.2228]",0.751
CLM-041,"[0.4356, -0.9147, 0.9709, 0.5731, 0.973, -0.2455, -0.3435, -0.9403]",0.406
CLM-042,"[0.6335, -0.0733, -0.9069, -0.3896, 0.3517, -0.3816, -0.8887, 0.4147]",0.04
CLM-043,"[0.297, -0.7229, -0.3116, 0.0656, -0.478, -0.8242, 0.648, 0.6038]",0.683
CLM-044,"[-0.9965, 0.6849, 0.0613, 0.7934, 0.4912, 0.0135, -0.6263, 0.8838]",0.596
CLM-045,"[0.1133, -0.0169, 0.6469, 0.8442, 0.2278, 0.8323, -0.4078, -0.5576]",0.552
CLM-046,"[0.8373, -0.0087, 0.6716, -0.4359, -0.3959, 0.9311, 0.4892, 0.2925]",0.579
CLM-047,"[-0.2816, -0.7613, 0.8221, -0.7295, 0.1421, 0.7569, -0.7338, -0.7858]",0.478
CLM-048,"[-0.3028, -0.5377, 0.7039, -0.5536, 0.7215, 0.4562, 0.9108, -0.2189]",0.647
CLM-049,"[0.2006, 0.3367, -0.681, -0.9951, -0.409, -0.5603, 0.3364, 0.5465]",0.358
CLM-050,"[-0.8843, 0.9503, -0.6137, 0.4346, -0.608, 0.573, -0.0569, -0.0444]",0.345
